button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
G,D,"[4, 3]",-2.0,0.0,2.1154940128326416,3.551539897918701,0.4024345607406478,0.0,1.0
B,L,"[4, 2]",-1.0,-1.0,0.2798750400543213,2.0359089374542236,0.7379198462346084,0.0,2.0
Y,R,"[4, 3]",0.0,-1.0,0.42439699172973633,1.9980621337890625,0.569569736951349,0.0,3.0
G,D,"[5, 3]",-1.0,-2.0,0.27765989303588867,1.720844030380249,0.44065449642358734,0.0,4.0
G,D,"[6, 3]",0.0,-2.0,0.21892285346984863,1.5141448974609375,0.28816406225336605,0.0,5.0
G,D,"[6, 3]",0.0,-2.0,0.26738691329956055,1.6319401264190674,0.36993052107283725,0.0,6.0
,,"(3, 3)",,,,,,0.0,
R,U,"[2, 3]",-1.0,-1.0,0.4621269702911377,8.795666933059692,0.34920794361837054,,7.0
R,U,"[1, 3]",1.0,0.0,0.3154280185699463,1.659013032913208,0.32487951712895397,1.0,8.0
R,U,"[0, 3]",0.0,0.0,0.7576799392700195,2.281440019607544,0.5228121749158725,1.0,9.0
B,L,"[0, 2]",0.0,0.0,0.29004788398742676,1.6086549758911133,0.3153798129726095,1.0,10.0
B,L,"[0, 1]",0.0,0.0,0.4317290782928467,2.148918867111206,0.7136878819665118,1.0,11.0
Y,R,"[0, 2]",0.0,0.0,0.3765099048614502,1.8871269226074219,0.5010014127596666,1.0,12.0
,,"(3, 3)",,,,,,1.0,
G,D,"[4, 3]",-1.0,-1.0,0.9640598297119141,6.570919990539551,0.6720046792278347,,13.0
G,D,"[5, 3]",-1.0,-2.0,0.454010009765625,1.8991589546203613,0.43805320752225996,2.0,14.0
B,L,"[5, 2]",-1.0,-3.0,0.5490648746490479,2.196449041366577,0.6345131055348014,2.0,15.0
Y,R,"[5, 3]",0.0,-3.0,0.5770101547241211,1.8745701313018799,0.292535772648507,2.0,16.0
Y,R,"[5, 4]",-1.0,-4.0,0.8293979167938232,2.2021679878234863,0.3613579961842456,2.0,17.0
Y,R,"[5, 5]",-1.0,-5.0,0.5165729522705078,1.9358339309692383,0.4138321149751252,2.0,18.0
,,"(3, 3)",,,,,,2.0,
R,U,"[2, 3]",-1.0,-1.0,0.8176500797271729,9.867825031280518,0.41512169271752014,,19.0
G,D,"[3, 3]",0.0,-1.0,0.45114898681640625,1.8047850131988525,0.336631370684498,3.0,20.0
B,L,"[3, 2]",1.0,0.0,0.4833199977874756,2.232743978500366,0.7357393989868106,3.0,21.0
Y,R,"[3, 3]",0.0,0.0,0.46695804595947266,1.7891731262207031,0.3253055588704165,3.0,22.0
Y,R,"[3, 4]",-1.0,-1.0,0.6007521152496338,2.1620030403137207,0.5539407648391392,3.0,23.0
B,L,"[3, 3]",0.0,-1.0,0.248337984085083,1.7183551788330078,0.472446415761785,3.0,24.0
,,"(3, 3)",,,,,,3.0,
G,D,"[4, 3]",-1.0,-1.0,0.8558640480041504,4.986911058425903,0.3260152499912626,,25.0
G,D,"[5, 3]",-1.0,-2.0,0.5452651977539062,1.9375889301300049,0.396893325315765,4.0,26.0
R,U,"[4, 3]",0.0,-2.0,0.2462601661682129,1.7175920009613037,0.4644198103096155,4.0,27.0
R,U,"[3, 3]",0.0,-2.0,0.25585484504699707,1.5087659358978271,0.25700503684575365,4.0,28.0
R,U,"[2, 3]",-1.0,-3.0,0.4618229866027832,1.9523859024047852,0.49249830045539694,4.0,29.0
B,L,"[2, 2]",1.0,-2.0,0.2660379409790039,1.9026541709899902,0.6447498870722213,4.0,30.0
,,"(3, 3)",,,,,,4.0,
B,L,"[3, 2]",-2.0,0.0,1.1791129112243652,6.102910041809082,0.6314541384029655,,31.0
B,L,"[3, 1]",1.0,1.0,0.47435998916625977,2.177053928375244,0.6916615136561535,5.0,32.0
B,L,"[3, 0]",0.0,1.0,0.3427760601043701,2.0830719470977783,0.7411492622689563,5.0,33.0
B,L,"[3, 0]",0.0,1.0,0.5095109939575195,1.9066040515899658,0.3982389815584689,5.0,34.0
B,L,"[3, 0]",0.0,1.0,0.6059720516204834,2.156633138656616,0.5382077208776803,5.0,35.0
B,L,"[3, 0]",0.0,1.0,0.3209688663482666,1.667428970336914,0.33924774271232694,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",-2.0,0.0,1.2129440307617188,5.502539873123169,0.7415202147729254,,37.0
B,L,"[3, 1]",1.0,1.0,0.2036130428314209,1.7414710521697998,0.5331010667914473,6.0,38.0
B,L,"[3, 0]",0.0,1.0,0.25279784202575684,1.940579891204834,0.6734243217207575,6.0,39.0
B,L,"[3, 0]",0.0,1.0,0.19646501541137695,1.460433006286621,0.26775447291808663,6.0,40.0
B,L,"[3, 0]",0.0,1.0,0.3078958988189697,1.635638952255249,0.3200484884335178,6.0,41.0
B,L,"[3, 0]",0.0,1.0,0.2605581283569336,1.9018490314483643,0.6382686796944858,6.0,42.0
,,"(3, 3)",,,,,,6.0,
B,L,"[3, 2]",1.0,1.0,0.6659359931945801,3.893256902694702,0.7481370925040802,,43.0
B,L,"[3, 1]",1.0,2.0,0.15390276908874512,1.4778690338134766,0.3097421298623368,7.0,44.0
B,L,"[3, 0]",0.0,2.0,0.22423791885375977,1.6448979377746582,0.4214106095842295,7.0,45.0
B,L,"[3, 0]",0.0,2.0,0.2493741512298584,1.5967299938201904,0.3514016400031574,7.0,46.0
B,L,"[3, 0]",0.0,2.0,0.35924696922302246,1.7376859188079834,0.37240631346725395,7.0,47.0
B,L,"[3, 0]",0.0,2.0,0.18294906616210938,1.6042921543121338,0.42671609619659656,7.0,48.0
,,"(3, 3)",,,,,,7.0,
B,L,"[3, 2]",1.0,1.0,0.7113361358642578,6.570641040802002,0.597557425317468,,49.0
B,L,"[3, 1]",-1.0,1.0,0.09668803215026855,5.768621921539307,0.5327609051190414,8.0,50.0
B,L,"[3, 0]",0.0,1.0,0.6454050540924072,2.106696844100952,0.45622801870849417,8.0,51.0
B,L,"[3, 0]",0.0,1.0,0.3226349353790283,1.7770259380340576,0.44989469304170654,8.0,52.0
B,L,"[3, 0]",0.0,1.0,0.1383039951324463,1.521374225616455,0.3713848157988102,8.0,53.0
B,L,"[3, 0]",0.0,1.0,0.2474820613861084,1.7928178310394287,0.5473405182522201,8.0,54.0
,,"(3, 3)",,,,,,8.0,
B,L,"[3, 2]",1.0,1.0,0.8589701652526855,5.32541298866272,0.5063298462835903,,55.0
B,L,"[3, 1]",1.0,2.0,0.23009109497070312,1.611583948135376,0.38477823679413775,9.0,56.0
B,L,"[3, 0]",0.0,2.0,0.2724440097808838,1.7505640983581543,0.46847240237217935,9.0,57.0
B,L,"[3, 0]",0.0,2.0,0.15653705596923828,1.5630791187286377,0.39839804257026656,9.0,58.0
B,L,"[3, 0]",0.0,2.0,0.2560269832611084,1.6399891376495361,0.3717227083117138,9.0,59.0
B,L,"[3, 0]",0.0,2.0,0.24385404586791992,1.801300048828125,0.5561513172022364,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",-2.0,0.0,1.092160940170288,4.403273105621338,0.4930358504214992,,61.0
B,L,"[3, 1]",1.0,1.0,0.39992713928222656,1.886056900024414,0.4790140094926848,10.0,62.0
B,L,"[3, 0]",0.0,1.0,0.36100292205810547,1.723026990890503,0.36900295619789275,10.0,63.0
B,L,"[3, 0]",0.0,1.0,0.4152719974517822,1.7275381088256836,0.3131100586178236,10.0,64.0
B,L,"[3, 0]",0.0,1.0,0.25897693634033203,1.682070016860962,0.4118383937137867,10.0,65.0
B,L,"[3, 0]",0.0,1.0,0.35343003273010254,1.6286430358886719,0.25728219894080256,10.0,66.0
,,"(3, 3)",,,,,,10.0,
B,L,"[3, 2]",1.0,1.0,0.545957088470459,3.63277006149292,0.4399366655542668,,67.0
B,L,"[3, 1]",1.0,2.0,0.23906803131103516,1.5696778297424316,0.3265786506066482,11.0,68.0
B,L,"[3, 0]",0.0,2.0,0.22644305229187012,1.5098748207092285,0.2864646965484464,11.0,69.0
B,L,"[3, 0]",0.0,2.0,0.20186495780944824,1.8667750358581543,0.6694130875427691,11.0,70.0
B,L,"[3, 0]",0.0,2.0,0.27231884002685547,1.9784419536590576,0.6979539803624312,11.0,71.0
B,L,"[3, 0]",-2.0,2.0,1.0178849697113037,2.7990410327911377,0.74688760257841,11.0,72.0
,,"(3, 3)",,,,,,11.0,
B,L,"[3, 2]",1.0,1.0,0.7192878723144531,7.792480945587158,0.3068770502389849,,73.0
B,L,"[3, 1]",1.0,2.0,0.24814891815185547,1.877140998840332,0.6335418509347659,12.0,74.0
B,L,"[3, 0]",0.0,2.0,0.26854419708251953,1.9006898403167725,0.6176656475969196,12.0,75.0
B,L,"[3, 0]",0.0,2.0,0.21058297157287598,1.7184062004089355,0.5028224965839188,12.0,76.0
B,L,"[3, 0]",0.0,2.0,0.2230980396270752,1.4811880588531494,0.25098050013323003,12.0,77.0
B,L,"[3, 0]",0.0,2.0,0.4407839775085449,1.7184181213378906,0.2861800986321801,12.0,78.0
,,"(3, 3)",,,,,,12.0,
