button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 3]",-2.0,0.0,1.9460728168487549,3.3146839141845703,0.33217328953269293,0.0,1.0
R,U,"[1, 3]",1.0,1.0,0.3346750736236572,1.7304198741912842,0.37932232692289547,0.0,2.0
G,D,"[2, 3]",0.0,1.0,0.8040869235992432,2.3774049282073975,0.5731736268794249,0.0,3.0
B,L,"[2, 2]",-1.0,1.0,0.0009369850158691406,5.761132001876831,0.6343442684743674,0.0,4.0
B,L,"[2, 1]",1.0,2.0,0.5732848644256592,2.289444923400879,0.7069412401191274,0.0,5.0
Y,R,"[2, 2]",0.0,2.0,0.36811184883117676,1.8276619911193848,0.45162355267926707,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",1.0,1.0,0.39523816108703613,7.068937063217163,0.6539951290262076,,7.0
R,U,"[2, 2]",1.0,2.0,0.20341014862060547,1.9407479763031006,0.7279300824568855,1.0,8.0
B,L,"[2, 1]",1.0,3.0,0.17633986473083496,1.6535861492156982,0.4818970460213251,1.0,9.0
R,U,"[1, 1]",-1.0,2.0,0.15471601486206055,1.569370985031128,0.4012392234260074,1.0,10.0
B,L,"[1, 0]",0.0,2.0,0.24393510818481445,1.4987890720367432,0.2503457219279547,1.0,11.0
Y,R,"[1, 1]",0.0,2.0,0.41794490814208984,2.012179136276245,0.5952543652011695,1.0,12.0
,,"(3, 3)",,,,,,1.0,
G,D,"[4, 3]",-1.0,-1.0,0.5361690521240234,4.659043073654175,0.6879486187369862,,13.0
B,L,"[4, 2]",-1.0,-2.0,0.2246558666229248,1.6125259399414062,0.3838781451848833,2.0,14.0
Y,R,"[4, 3]",0.0,-2.0,0.41924500465393066,1.880599021911621,0.44773340262866296,2.0,15.0
R,U,"[3, 3]",0.0,-2.0,0.18569493293762207,1.7009899616241455,0.5153910257818975,2.0,16.0
Y,R,"[3, 4]",-1.0,-3.0,0.2145829200744629,1.7092759609222412,0.4746739331953277,2.0,17.0
G,D,"[4, 4]",-1.0,-4.0,0.360806941986084,1.6093640327453613,0.2509531688793016,2.0,18.0
,,"(3, 3)",,,,,,2.0,
B,L,"[3, 2]",1.0,1.0,0.44083404541015625,3.0007340908050537,0.25225917604846837,,19.0
B,L,"[3, 1]",1.0,2.0,0.17122793197631836,1.620150089263916,0.43869582875470303,3.0,20.0
B,L,"[3, 0]",0.0,2.0,0.16878104209899902,1.5351479053497314,0.35717666803376336,3.0,21.0
G,D,"[4, 0]",0.0,2.0,0.2214970588684082,1.8880620002746582,0.6614797480703765,3.0,22.0
R,U,"[3, 0]",0.0,2.0,0.202239990234375,1.6976568698883057,0.509538932631658,3.0,23.0
Y,R,"[3, 1]",-1.0,2.0,0.030347108840942383,5.818544864654541,0.6613655061046688,3.0,24.0
,,"(3, 3)",,,,,,3.0,
Y,R,"[3, 4]",-1.0,-1.0,0.2949869632720947,3.0727579593658447,0.700493603977725,,25.0
R,U,"[2, 4]",-1.0,-1.0,0.09863901138305664,5.64301609992981,0.4108346300713195,4.0,26.0
R,U,"[1, 4]",-1.0,-2.0,0.3983139991760254,2.073617935180664,0.6676548639274613,4.0,27.0
G,D,"[2, 4]",0.0,-2.0,0.5050580501556396,2.1089468002319336,0.5932900486789755,4.0,28.0
B,L,"[2, 3]",-1.0,-3.0,0.24420595169067383,1.970613956451416,0.7306074611847944,4.0,29.0
G,D,"[3, 3]",0.0,-3.0,0.3922309875488281,1.754012107849121,0.3516448059506484,4.0,30.0
,,"(3, 3)",,,,,,4.0,
Y,R,"[3, 4]",-1.0,-1.0,0.653048038482666,4.10814905166626,0.6764991874558388,,31.0
B,L,"[3, 3]",0.0,-1.0,0.21081304550170898,1.7409381866455078,0.53358174707693,5.0,32.0
