button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 2]",-2.0,0.0,3.3202691078186035,4.645986795425415,0.2970532488776429,0.0,1.0
B,L,"[3, 1]",1.0,1.0,0.4642970561981201,1.7737388610839844,0.3043413016298428,0.0,2.0
R,U,"[2, 1]",1.0,2.0,0.5426828861236572,2.2352499961853027,0.6889269985324209,0.0,3.0
G,D,"[3, 1]",0.0,2.0,0.679563045501709,2.005915880203247,0.32871085905316794,0.0,4.0
Y,R,"[3, 2]",0.0,2.0,0.2927730083465576,1.808948040008545,0.5209018991944774,0.0,5.0
B,L,"[3, 1]",0.0,2.0,0.3838679790496826,2.0496509075164795,0.6704349509518726,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",-2.0,0.0,1.4452500343322754,9.03206992149353,0.3530115731383081,,7.0
G,D,"[4, 2]",-1.0,-1.0,0.2858748435974121,1.6740031242370605,0.39362232665474417,1.0,8.0
Y,R,"[4, 3]",-1.0,-2.0,0.3247559070587158,1.8033289909362793,0.48016878330255613,1.0,9.0
B,L,"[4, 2]",0.0,-2.0,0.35277700424194336,1.8310167789459229,0.461350745590902,1.0,10.0
R,U,"[3, 2]",0.0,-2.0,0.20136404037475586,1.8560800552368164,0.6671119008870211,1.0,11.0
G,D,"[4, 2]",0.0,-2.0,0.3145890235900879,1.8339130878448486,0.5180639034057217,1.0,12.0
,,"(3, 3)",,,,,,1.0,
Y,R,"[3, 4]",-1.0,-1.0,0.34200596809387207,6.603881120681763,0.555397028242479,,13.0
R,U,"[2, 4]",-1.0,-2.0,0.23337697982788086,1.6502389907836914,0.40560715426453237,2.0,14.0
Y,R,"[2, 5]",-1.0,-3.0,0.21854686737060547,1.7303049564361572,0.5024416522497173,2.0,15.0
R,U,"[1, 5]",-1.0,-4.0,0.18130207061767578,1.6195788383483887,0.4221946453894196,2.0,16.0
G,D,"[2, 5]",0.0,-4.0,0.4096798896789551,1.8892359733581543,0.47796904477348584,2.0,17.0
G,D,"[3, 5]",-1.0,-5.0,0.3944108486175537,1.6486620903015137,0.2602559430517945,2.0,18.0
,,"(3, 3)",,,,,,2.0,
B,L,"[3, 2]",1.0,1.0,0.6596407890319824,4.882929086685181,0.44313544103799485,,19.0
B,L,"[3, 1]",1.0,2.0,0.21416902542114258,1.9198439121246338,0.7127465756997389,3.0,20.0
B,L,"[3, 0]",0.0,2.0,0.17638492584228516,1.8631558418273926,0.6758343348898177,3.0,21.0
R,U,"[2, 0]",0.0,2.0,0.15418004989624023,1.5925519466400146,0.4353240180437274,3.0,22.0
Y,R,"[2, 1]",1.0,3.0,0.3314509391784668,1.8148770332336426,0.46690073184900754,3.0,23.0
Y,R,"[2, 2]",1.0,4.0,0.1585690975189209,1.720672845840454,0.5542723099968299,3.0,24.0
,,"(3, 3)",,,,,,3.0,
G,D,"[4, 3]",-1.0,-1.0,0.378695011138916,3.9049601554870605,0.5261320278990039,,25.0
R,U,"[3, 3]",0.0,-1.0,0.1840660572052002,1.5929450988769531,0.402231032196411,4.0,26.0
B,L,"[3, 2]",1.0,0.0,0.14730215072631836,1.5087430477142334,0.3445017918564069,4.0,27.0
B,L,"[3, 1]",1.0,1.0,0.1895129680633545,1.5984129905700684,0.4094867015542307,4.0,28.0
B,L,"[3, 0]",0.0,1.0,0.3133549690246582,1.931555986404419,0.6243042205770095,4.0,29.0
Y,R,"[3, 1]",0.0,1.0,0.2133488655090332,1.7313551902770996,0.5223744489196147,4.0,30.0
,,"(3, 3)",,,,,,4.0,
R,U,"[2, 3]",-1.0,-1.0,0.4640791416168213,3.2620151042938232,0.5012929062824714,,31.0
G,D,"[3, 3]",0.0,-1.0,0.6891200542449951,1.952775001525879,0.2543815017404999,5.0,32.0
Y,R,"[3, 4]",-1.0,-2.0,0.32717204093933105,1.7677409648895264,0.4385756597584411,5.0,33.0
B,L,"[3, 3]",0.0,-2.0,0.19160699844360352,1.9298779964447021,0.7347882963829084,5.0,34.0
G,D,"[4, 3]",-1.0,-3.0,0.2932898998260498,1.6097910404205322,0.3116994242221423,5.0,35.0
R,U,"[3, 3]",0.0,-3.0,0.2924530506134033,1.5614550113677979,0.27318723442812315,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",1.0,1.0,0.45374298095703125,3.21799898147583,0.3912012731597229,,37.0
B,L,"[3, 1]",1.0,2.0,0.17816686630249023,1.619499921798706,0.44390978472179127,6.0,38.0
R,U,"[2, 1]",1.0,3.0,0.6075439453125,2.2482681274414062,0.6419912860611747,6.0,39.0
R,U,"[1, 1]",-1.0,2.0,0.32460594177246094,2.036194086074829,0.7115400920649826,6.0,40.0
G,D,"[2, 1]",0.0,2.0,0.17931890487670898,1.828796148300171,0.6569656583504686,6.0,41.0
Y,R,"[2, 2]",1.0,3.0,0.17913007736206055,1.5014610290527344,0.3254387364061252,6.0,42.0
,,"(3, 3)",,,,,,6.0,
Y,R,"[3, 4]",-1.0,-1.0,0.476870059967041,3.8210370540618896,0.6961920552481626,,43.0
R,U,"[2, 4]",-1.0,-1.0,0.06597399711608887,5.739349126815796,0.5192146952908268,7.0,44.0
G,D,"[3, 4]",0.0,-1.0,0.361983060836792,2.0822269916534424,0.717871367202799,7.0,45.0
R,U,"[2, 4]",0.0,-1.0,0.264707088470459,1.5179600715637207,0.2529498221365072,7.0,46.0
G,D,"[3, 4]",0.0,-1.0,0.4298989772796631,2.1522841453552246,0.7215167905843713,7.0,47.0
B,L,"[3, 3]",0.0,-1.0,0.4480881690979004,2.1815600395202637,0.7364743173043411,7.0,48.0
,,"(3, 3)",,,,,,7.0,
B,L,"[3, 2]",-2.0,0.0,1.3039848804473877,4.247341156005859,0.6173506094437435,,49.0
B,L,"[3, 1]",1.0,1.0,0.3890058994293213,1.742311954498291,0.34329960133835874,8.0,50.0
B,L,"[3, 0]",0.0,1.0,0.2707540988922119,1.6291618347167969,0.3557167994083509,8.0,51.0
R,U,"[2, 0]",0.0,1.0,0.370344877243042,1.7250020503997803,0.3474401600669164,8.0,52.0
G,D,"[3, 0]",0.0,1.0,0.34701085090637207,1.7098588943481445,0.3572067445394006,8.0,53.0
Y,R,"[3, 1]",0.0,1.0,0.3382270336151123,2.0349438190460205,0.6920150058669903,8.0,54.0
,,"(3, 3)",,,,,,8.0,
B,L,"[3, 2]",-2.0,0.0,1.2059760093688965,4.2883620262146,0.7304252469780308,,55.0
B,L,"[3, 1]",1.0,1.0,0.27298498153686523,1.7905359268188477,0.5044850153619564,9.0,56.0
B,L,"[3, 0]",0.0,1.0,0.23569798469543457,1.7996108531951904,0.5707411283677652,9.0,57.0
R,U,"[2, 0]",0.0,1.0,0.18382787704467773,1.4712858200073242,0.29233314989085374,9.0,58.0
Y,R,"[2, 1]",1.0,2.0,0.27910304069519043,1.612013816833496,0.321049168244585,9.0,59.0
Y,R,"[2, 2]",1.0,3.0,0.2825498580932617,1.9158837795257568,0.619893236086236,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",1.0,1.0,0.28815507888793945,3.1504008769989014,0.3539525317327042,,61.0
B,L,"[3, 1]",1.0,2.0,0.23900794982910156,1.7952418327331543,0.5491230126953781,10.0,62.0
Y,R,"[3, 2]",0.0,2.0,0.27199387550354004,1.7469918727874756,0.46275642634979663,10.0,63.0
R,U,"[2, 2]",1.0,3.0,0.21129107475280762,1.4972479343414307,0.2770167446784064,10.0,64.0
R,U,"[1, 2]",1.0,4.0,0.17797112464904785,1.658458948135376,0.48518175082282483,10.0,65.0
G,D,"[2, 2]",0.0,4.0,0.3784310817718506,1.9522819519042969,0.5708536480237743,10.0,66.0
,,"(3, 3)",,,,,,10.0,
B,L,"[3, 2]",1.0,1.0,0.5792529582977295,3.5198822021484375,0.6572772474700946,,67.0
B,L,"[3, 1]",1.0,2.0,0.19005203247070312,1.8461220264434814,0.6538619871630272,11.0,68.0
R,U,"[2, 1]",1.0,3.0,0.38784289360046387,2.028053045272827,0.6316002190507813,11.0,69.0
R,U,"[1, 1]",-1.0,2.0,0.17172598838806152,1.5960330963134766,0.4112686481624842,11.0,70.0
Y,R,"[1, 2]",1.0,3.0,0.1845719814300537,1.7508130073547363,0.5619080217433119,11.0,71.0
Y,R,"[1, 3]",1.0,4.0,0.2142789363861084,1.5471951961517334,0.34262796337609996,11.0,72.0
,,"(3, 3)",,,,,,11.0,
B,L,"[3, 2]",1.0,1.0,0.4374520778656006,3.6284680366516113,0.5876038490496787,,73.0
B,L,"[3, 1]",1.0,2.0,0.38815903663635254,1.9670889377593994,0.5713144107341332,12.0,74.0
R,U,"[2, 1]",1.0,3.0,0.29158496856689453,1.6399650573730469,0.344894828516154,12.0,75.0
Y,R,"[2, 2]",1.0,4.0,0.27645397186279297,1.596052885055542,0.3242578797552423,12.0,76.0
Y,R,"[2, 3]",-1.0,3.0,0.3153409957885742,2.025709867477417,0.6996006169048403,12.0,77.0
R,U,"[1, 3]",1.0,4.0,0.7750210762023926,2.1275999546051025,0.34434295701915635,12.0,78.0
,,"(3, 3)",,,,,,12.0,
B,L,"[3, 2]",1.0,1.0,0.5350780487060547,3.0775959491729736,0.35535166689065945,,79.0
B,L,"[3, 1]",1.0,2.0,0.6831932067871094,2.358649969100952,0.6637837645124152,13.0,80.0
R,U,"[2, 1]",1.0,3.0,0.22463607788085938,1.4892079830169678,0.2533494952358072,13.0,81.0
Y,R,"[2, 2]",1.0,4.0,0.343350887298584,1.8945889472961426,0.5476927673894925,13.0,82.0
R,U,"[1, 2]",1.0,5.0,0.28841304779052734,1.6207489967346191,0.31863082139333165,13.0,83.0
B,L,"[1, 1]",-1.0,4.0,0.774806022644043,2.3360488414764404,0.554457244513691,13.0,84.0
,,"(3, 3)",,,,,,13.0,
B,L,"[3, 2]",1.0,1.0,0.442579984664917,3.1835808753967285,0.7213586801766809,,85.0
B,L,"[3, 1]",1.0,2.0,0.540334939956665,1.8283801078796387,0.2835474071003137,14.0,86.0
R,U,"[2, 1]",1.0,3.0,0.3500208854675293,1.6447460651397705,0.2783852420147826,14.0,87.0
Y,R,"[2, 2]",1.0,4.0,0.250931978225708,1.5137450695037842,0.2587312353368913,14.0,88.0
R,U,"[1, 2]",1.0,5.0,0.22629880905151367,1.8603298664093018,0.6354474895121665,14.0,89.0
G,D,"[2, 2]",0.0,5.0,0.22202110290527344,1.497093915939331,0.2662068132495998,14.0,90.0
,,"(3, 3)",,,,,,14.0,
B,L,"[3, 2]",1.0,1.0,0.332733154296875,3.295199155807495,0.6944299755625643,,91.0
B,L,"[3, 1]",1.0,2.0,0.34835290908813477,2.121622085571289,0.7492961132002531,15.0,92.0
R,U,"[2, 1]",-1.0,2.0,0.044172048568725586,5.5236430168151855,0.35681843500620586,15.0,93.0
R,U,"[1, 1]",-1.0,1.0,0.4977688789367676,1.7973029613494873,0.2874443265620852,15.0,94.0
Y,R,"[1, 2]",1.0,2.0,0.4516470432281494,1.9451189041137695,0.4825359305524669,15.0,95.0
Y,R,"[1, 3]",1.0,3.0,0.31679296493530273,2.0021681785583496,0.6677335708438652,15.0,96.0
,,"(3, 3)",,,,,,15.0,
B,L,"[3, 2]",1.0,1.0,0.6044659614562988,3.057995080947876,0.2930066564710243,,97.0
B,L,"[3, 1]",1.0,2.0,0.46008801460266113,1.8751399517059326,0.4173131114016234,16.0,98.0
R,U,"[2, 1]",1.0,3.0,0.4519810676574707,1.9508459568023682,0.4853709698310947,16.0,99.0
Y,R,"[2, 2]",1.0,4.0,0.20092105865478516,1.862239122390747,0.6475642325939953,16.0,100.0
R,U,"[1, 2]",1.0,5.0,0.43813014030456543,1.765143871307373,0.31303519910402217,16.0,101.0
Y,R,"[1, 3]",1.0,6.0,0.39748501777648926,2.0757548809051514,0.671791196833628,16.0,102.0
,,"(3, 3)",,,,,,16.0,
B,L,"[3, 2]",1.0,1.0,0.9091610908508301,3.705024003982544,0.5436788391469312,,103.0
B,L,"[3, 1]",1.0,2.0,0.5259740352630615,2.18818998336792,0.665075013313593,17.0,104.0
R,U,"[2, 1]",1.0,3.0,0.48606300354003906,1.7933690547943115,0.29226135884229854,17.0,105.0
Y,R,"[2, 2]",1.0,4.0,0.3697049617767334,1.8760969638824463,0.5014204852953703,17.0,106.0
R,U,"[1, 2]",1.0,5.0,0.26157498359680176,1.6977899074554443,0.4327155203364918,17.0,107.0
