button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 2]",-2.0,0.0,2.2109949588775635,3.934699058532715,0.6849746362991069,0.0,1.0
R,U,"[2, 2]",-1.0,0.0,0.02692413330078125,5.622031927108765,0.4744792987931685,0.0,2.0
Y,R,"[2, 3]",-1.0,-1.0,0.5211119651794434,1.908972978591919,0.38353149140535997,0.0,3.0
R,U,"[1, 3]",1.0,0.0,0.8074920177459717,2.463038921356201,0.6462422508381438,0.0,4.0
G,D,"[2, 3]",-2.0,0.0,1.0240530967712402,2.324502944946289,0.2709367288668996,0.0,5.0
R,U,"[1, 3]",0.0,0.0,0.6656239032745361,2.2694549560546875,0.6068303745607504,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",1.0,1.0,0.6063668727874756,6.299813985824585,0.48990155073978475,,7.0
B,L,"[3, 1]",1.0,2.0,0.45928192138671875,2.171797037124634,0.7116125744573303,1.0,8.0
B,L,"[3, 0]",0.0,2.0,0.34659504890441895,1.6535120010375977,0.31535908055991274,1.0,9.0
Y,R,"[3, 1]",0.0,2.0,0.31090593338012695,1.5834040641784668,0.2654630863183507,1.0,10.0
Y,R,"[3, 2]",0.0,2.0,0.2245340347290039,1.8987650871276855,0.6640826965747425,1.0,11.0
R,U,"[2, 2]",1.0,3.0,0.3984811305999756,1.6798059940338135,0.2607832103635302,1.0,12.0
,,"(3, 3)",,,,,,1.0,
B,L,"[3, 2]",1.0,1.0,0.42620301246643066,4.6867711544036865,0.2805169270627927,,13.0
R,U,"[2, 2]",1.0,2.0,0.5357468128204346,2.0346341133117676,0.4815821580949262,2.0,14.0
B,L,"[2, 1]",1.0,3.0,0.30536794662475586,1.7528040409088135,0.43419907205198655,2.0,15.0
R,U,"[1, 1]",-1.0,2.0,0.157304048538208,1.7154881954193115,0.5499656608702185,2.0,16.0
B,L,"[1, 0]",0.0,2.0,0.42699384689331055,2.0326619148254395,0.598803467354749,2.0,17.0
G,D,"[2, 0]",0.0,2.0,0.3381659984588623,1.7146310806274414,0.3635062942450257,2.0,18.0
,,"(3, 3)",,,,,,2.0,
G,D,"[4, 3]",-1.0,-1.0,0.3610811233520508,4.510274887084961,0.7233700685478408,,19.0
R,U,"[3, 3]",0.0,-1.0,0.26351404190063477,1.8609509468078613,0.6009591998986867,3.0,20.0
B,L,"[3, 2]",1.0,0.0,0.17980504035949707,1.8911991119384766,0.6921404819067587,3.0,21.0
B,L,"[3, 1]",1.0,1.0,0.193436861038208,1.6642470359802246,0.47314330443503794,3.0,22.0
B,L,"[3, 0]",0.0,1.0,0.32073402404785156,1.8220791816711426,0.5116048564595534,3.0,23.0
G,D,"[4, 0]",0.0,1.0,0.5021951198577881,1.7498738765716553,0.2616339573170221,3.0,24.0
,,"(3, 3)",,,,,,3.0,
Y,R,"[3, 4]",-1.0,-1.0,0.36670899391174316,3.4492759704589844,0.593878812978101,,25.0
R,U,"[2, 4]",-1.0,-1.0,0.03920602798461914,5.8276050090789795,0.6711559382259084,4.0,26.0
R,U,"[1, 4]",-1.0,-2.0,0.22653412818908691,1.620365858078003,0.3918255740787484,4.0,27.0
G,D,"[2, 4]",0.0,-2.0,0.49088191986083984,2.1220788955688477,0.6301312128819592,4.0,28.0
B,L,"[2, 3]",-1.0,-3.0,0.23145604133605957,1.523423194885254,0.27085465843131085,4.0,29.0
Y,R,"[2, 4]",0.0,-3.0,0.2687849998474121,1.7576780319213867,0.4781607003908661,4.0,30.0
,,"(3, 3)",,,,,,4.0,
G,D,"[4, 3]",-1.0,-1.0,0.5900509357452393,3.3472180366516113,0.29197120252740205,,31.0
G,D,"[5, 3]",-1.0,-2.0,0.37410783767700195,2.0108301639556885,0.6357937870862302,5.0,32.0
B,L,"[5, 2]",-1.0,-3.0,0.25694799423217773,1.84621000289917,0.5820726325815352,5.0,33.0
R,U,"[4, 2]",-1.0,-4.0,0.23112893104553223,1.5949170589447021,0.34382811521568424,5.0,34.0
Y,R,"[4, 3]",0.0,-4.0,0.43292689323425293,1.9530830383300781,0.5131834634661929,5.0,35.0
G,D,"[5, 3]",0.0,-4.0,0.3009929656982422,1.5933411121368408,0.2901511359646909,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",1.0,1.0,0.6747667789459229,3.5265119075775146,0.41671692626653395,,37.0
Y,R,"[3, 3]",-1.0,1.0,0.07215285301208496,5.577188968658447,0.3769827054440529,6.0,38.0
R,U,"[2, 3]",-1.0,0.0,0.348538875579834,1.8815109729766846,0.5251258732237285,6.0,39.0
B,L,"[2, 2]",1.0,1.0,0.45104098320007324,2.0533339977264404,0.5949554418859251,6.0,40.0
B,L,"[2, 1]",1.0,2.0,0.38205814361572266,2.1111369132995605,0.739076699440667,6.0,41.0
B,L,"[2, 0]",0.0,2.0,0.5393679141998291,1.8835887908935547,0.3398023802101185,6.0,42.0
,,"(3, 3)",,,,,,6.0,
B,L,"[3, 2]",1.0,1.0,0.9240410327911377,3.836479902267456,0.6426802301448287,,43.0
B,L,"[3, 1]",1.0,2.0,0.41158485412597656,2.00813889503479,0.6004614169969396,7.0,44.0
B,L,"[3, 0]",0.0,2.0,0.5236968994140625,2.0483059883117676,0.5157761469274103,7.0,45.0
R,U,"[2, 0]",0.0,2.0,0.31679391860961914,1.9116768836975098,0.5938294104089455,7.0,46.0
R,U,"[1, 0]",0.0,2.0,0.393841028213501,1.7166080474853516,0.3271315623371336,7.0,47.0
B,L,"[1, 0]",0.0,2.0,0.4091188907623291,1.8441998958587646,0.43794171657090236,7.0,48.0
,,"(3, 3)",,,,,,7.0,
B,L,"[3, 2]",-2.0,0.0,1.2583649158477783,4.3499839305877686,0.43797037077044687,,49.0
Y,R,"[3, 3]",0.0,0.0,0.11809396743774414,1.4251291751861572,0.2965228368322522,8.0,50.0
R,U,"[2, 3]",-1.0,-1.0,0.5119659900665283,2.1507010459899902,0.6301041040530895,8.0,51.0
B,L,"[2, 2]",1.0,0.0,0.3046109676361084,1.7257280349731445,0.42266979633691376,8.0,52.0
B,L,"[2, 1]",1.0,1.0,0.41898488998413086,2.1023058891296387,0.6748136297313102,8.0,53.0
R,U,"[1, 1]",-1.0,0.0,0.25392985343933105,1.7163810729980469,0.45785302275616,8.0,54.0
,,"(3, 3)",,,,,,8.0,
B,L,"[3, 2]",1.0,1.0,0.689129114151001,3.7934811115264893,0.7343592196344217,,55.0
B,L,"[3, 1]",1.0,2.0,0.2511730194091797,1.9450180530548096,0.6798407162189233,9.0,56.0
B,L,"[3, 0]",0.0,2.0,0.23708391189575195,1.598271131515503,0.34484325871178856,9.0,57.0
R,U,"[2, 0]",0.0,2.0,0.451801061630249,1.7217509746551514,0.2831007439773354,9.0,58.0
Y,R,"[2, 1]",1.0,3.0,0.5544900894165039,1.9282128810882568,0.3611890302128785,9.0,59.0
G,D,"[3, 1]",0.0,3.0,0.4339590072631836,1.6765599250793457,0.2546686802402389,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",1.0,1.0,0.4734921455383301,3.549302101135254,0.5868826518501178,,61.0
B,L,"[3, 1]",1.0,2.0,0.22128009796142578,1.8646790981292725,0.634900255941319,10.0,62.0
Y,R,"[3, 2]",0.0,2.0,0.18677902221679688,1.538210153579712,0.3399794509199197,10.0,63.0
G,D,"[4, 2]",-1.0,1.0,0.2912931442260742,1.702125072479248,0.4085846006286526,10.0,64.0
B,L,"[4, 1]",-1.0,0.0,0.275209903717041,1.5504250526428223,0.2756787368762558,10.0,65.0
R,U,"[3, 1]",0.0,0.0,0.15743494033813477,1.539158821105957,0.3816025132513339,10.0,66.0
,,"(3, 3)",,,,,,10.0,
B,L,"[3, 2]",1.0,1.0,0.7837538719177246,3.294567823410034,0.4924171016277147,,67.0
B,L,"[3, 1]",1.0,2.0,0.2207319736480713,1.834702968597412,0.6271342171389092,11.0,68.0
R,U,"[2, 1]",1.0,3.0,0.2446460723876953,1.5877330303192139,0.3482831487987796,11.0,69.0
Y,R,"[2, 2]",1.0,4.0,0.29536008834838867,1.8584778308868408,0.5566235273450884,11.0,70.0
Y,R,"[2, 3]",-1.0,3.0,0.43534302711486816,2.0022969245910645,0.5589098347813373,11.0,71.0
