button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
G,D,"[4, 3]",-2.0,0.0,1.806035041809082,3.095160961151123,0.26289587360922995,0.0,1.0
G,D,"[5, 3]",-1.0,-1.0,0.4080350399017334,1.7275729179382324,0.30711485538932515,0.0,2.0
B,L,"[5, 2]",-1.0,-2.0,0.29082798957824707,1.951751947402954,0.6584712404859464,0.0,3.0
G,D,"[6, 2]",0.0,-2.0,0.28490304946899414,1.771224021911621,0.4800182035887085,0.0,4.0
R,U,"[5, 2]",0.0,-2.0,0.23459815979003906,1.5879042148590088,0.3513291538189866,0.0,5.0
Y,R,"[5, 3]",0.0,-2.0,0.6893200874328613,2.3787550926208496,0.6797746983073489,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",1.0,1.0,0.6545388698577881,6.53510594367981,0.6485202366923832,,7.0
Y,R,"[3, 3]",0.0,1.0,0.5959601402282715,2.1412618160247803,0.5398485720923887,1.0,8.0
B,L,"[3, 2]",0.0,1.0,0.23359417915344238,1.974086046218872,0.7472168631116924,1.0,9.0
R,U,"[2, 2]",1.0,2.0,0.2903940677642822,1.7796549797058105,0.4769280649973185,1.0,10.0
R,U,"[1, 2]",1.0,3.0,0.6788148880004883,2.196822166442871,0.5238083491006508,1.0,11.0
B,L,"[1, 1]",-1.0,2.0,0.2578399181365967,1.6930310726165771,0.43364204957191765,1.0,12.0
,,"(3, 3)",,,,,,1.0,
Y,R,"[3, 4]",-1.0,-1.0,0.25719618797302246,5.153999090194702,0.5874949995123702,,13.0
R,U,"[2, 4]",-1.0,-1.0,0.015902042388916016,5.785683870315552,0.6399919315526045,2.0,14.0
B,L,"[2, 3]",-1.0,-2.0,0.21234798431396484,1.9631149768829346,0.7363286310242323,2.0,15.0
G,D,"[3, 3]",0.0,-2.0,0.20560598373413086,1.6201369762420654,0.40693672696545236,2.0,16.0
R,U,"[2, 3]",0.0,-2.0,0.38279199600219727,1.8229341506958008,0.44641136548730226,2.0,17.0
Y,R,"[2, 4]",0.0,-2.0,0.396636962890625,1.929692029953003,0.5260130368271516,2.0,18.0
,,"(3, 3)",,,,,,2.0,
Y,R,"[3, 4]",-1.0,-1.0,0.4757270812988281,6.077546119689941,0.736851907452009,,19.0
B,L,"[3, 3]",0.0,-1.0,0.263721227645874,1.9020860195159912,0.6389997302720334,3.0,20.0
R,U,"[2, 3]",-1.0,-2.0,0.1988060474395752,1.6370279788970947,0.426359184075436,3.0,21.0
G,D,"[3, 3]",0.0,-2.0,0.3147590160369873,1.9708330631256104,0.6636726435910072,3.0,22.0
G,D,"[4, 3]",-1.0,-3.0,0.37122201919555664,1.9301321506500244,0.5438375845069588,3.0,23.0
G,D,"[5, 3]",-1.0,-4.0,0.37567901611328125,1.9205880165100098,0.5479394715493131,3.0,24.0
,,"(3, 3)",,,,,,3.0,
Y,R,"[3, 4]",-1.0,-1.0,0.45711207389831543,3.8897719383239746,0.4044449747340711,,25.0
Y,R,"[3, 5]",-1.0,-2.0,0.5741720199584961,2.146592140197754,0.5676581293064409,4.0,26.0
B,L,"[3, 4]",0.0,-2.0,0.19843220710754395,1.5268499851226807,0.3280587281356337,4.0,27.0
B,L,"[3, 3]",0.0,-2.0,0.41964006423950195,2.008777141571045,0.5699426417488161,4.0,28.0
B,L,"[3, 2]",1.0,-1.0,0.20911407470703125,1.6462490558624268,0.4330960257334038,4.0,29.0
B,L,"[3, 1]",1.0,0.0,0.44403600692749023,1.8785369396209717,0.4283171218538001,4.0,30.0
,,"(3, 3)",,,,,,4.0,
G,D,"[4, 3]",-1.0,-1.0,0.6451609134674072,3.9623148441314697,0.37401112614507115,,31.0
G,D,"[5, 3]",-1.0,-2.0,0.6312060356140137,2.065755844116211,0.4398686058893098,5.0,32.0
G,D,"[6, 3]",0.0,-2.0,0.2943141460418701,2.0358498096466064,0.7414893278378556,5.0,33.0
G,D,"[6, 3]",0.0,-2.0,0.19606494903564453,1.7177350521087646,0.5266060332953025,5.0,34.0
G,D,"[6, 3]",0.0,-2.0,0.3586599826812744,1.9071109294891357,0.550427201289081,5.0,35.0
G,D,"[6, 3]",0.0,-2.0,0.23285794258117676,1.5029609203338623,0.27047652481904555,5.0,36.0
,,"(3, 3)",,,,,,5.0,
R,U,"[2, 3]",-1.0,-1.0,0.6550581455230713,2.7897329330444336,0.5930830240011895,,37.0
R,U,"[1, 3]",1.0,0.0,0.16871404647827148,1.879364013671875,0.7058460552401087,6.0,38.0
Y,R,"[1, 4]",-1.0,-1.0,0.8835201263427734,2.1728549003601074,0.27899836295090147,6.0,39.0
B,L,"[1, 3]",0.0,-1.0,0.3408699035644531,1.9475839138031006,0.6098088119049623,6.0,40.0
B,L,"[1, 2]",1.0,0.0,0.18614578247070312,1.6463050842285156,0.45615147237711645,6.0,41.0
B,L,"[1, 1]",-1.0,-1.0,0.21610689163208008,1.8770031929016113,0.6496614783731871,6.0,42.0
,,"(3, 3)",,,,,,6.0,
R,U,"[2, 3]",-1.0,-1.0,0.6148819923400879,3.2545270919799805,0.27135151188704965,,43.0
G,D,"[3, 3]",0.0,-1.0,0.34769201278686523,1.9622540473937988,0.6166799631147719,7.0,44.0
B,L,"[3, 2]",1.0,0.0,0.1287977695465088,1.7931139469146729,0.6431061084611629,7.0,45.0
B,L,"[3, 1]",1.0,1.0,0.1560831069946289,1.4962430000305176,0.3396091926040728,7.0,46.0
B,L,"[3, 0]",0.0,1.0,0.3259890079498291,1.6644740104675293,0.33748298900268425,7.0,47.0
B,L,"[3, 0]",0.0,1.0,0.3402900695800781,1.9471969604492188,0.6010873780493022,7.0,48.0
,,"(3, 3)",,,,,,7.0,
Y,R,"[3, 4]",-1.0,-1.0,0.23161983489990234,3.6224799156188965,0.5071064452720766,,49.0
B,L,"[3, 3]",0.0,-1.0,0.152940034866333,1.7740600109100342,0.6309417404733477,8.0,50.0
B,L,"[3, 2]",1.0,0.0,0.21355414390563965,1.725917100906372,0.507030996085761,8.0,51.0
B,L,"[3, 1]",1.0,1.0,0.17992401123046875,1.7563540935516357,0.5800530420672896,8.0,52.0
G,D,"[4, 1]",-1.0,0.0,0.2983510494232178,1.6727640628814697,0.3697758241192184,8.0,53.0
B,L,"[4, 0]",0.0,0.0,0.19173407554626465,1.7705919742584229,0.5734375635156856,8.0,54.0
,,"(3, 3)",,,,,,8.0,
Y,R,"[3, 4]",-1.0,-1.0,0.3458261489868164,3.3987810611724854,0.42272639747385665,,55.0
R,U,"[2, 4]",-1.0,-2.0,0.22222495079040527,1.5337941646575928,0.3064566298679765,9.0,56.0
