button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 3]",-2.0,0.0,1.8009798526763916,3.234705924987793,0.402340265372361,0.0,1.0
R,U,"[1, 3]",1.0,1.0,0.4450719356536865,1.9224238395690918,0.45812622169634054,0.0,2.0
B,L,"[1, 2]",1.0,2.0,0.6864449977874756,2.1347930431365967,0.44299259163099247,0.0,3.0
G,D,"[2, 2]",1.0,3.0,0.9425928592681885,2.496358871459961,0.5558594653676445,0.0,4.0
Y,R,"[2, 3]",0.0,3.0,0.5042610168457031,1.8289148807525635,0.3181892980258528,0.0,5.0
R,U,"[1, 3]",0.0,3.0,0.6959590911865234,2.2929790019989014,0.5942542784464396,0.0,6.0
,,"(3, 3)",,,,,,0.0,
R,U,"[2, 3]",-1.0,-1.0,0.8189520835876465,7.646528959274292,0.6241648617007693,,7.0
B,L,"[2, 2]",1.0,0.0,0.28598809242248535,1.8782989978790283,0.5856202274798847,1.0,8.0
G,D,"[3, 2]",1.0,1.0,0.30168795585632324,1.7605149745941162,0.4462152243381579,1.0,9.0
R,U,"[2, 2]",0.0,1.0,0.45313191413879395,1.7775161266326904,0.30727224953861343,1.0,10.0
R,U,"[1, 2]",1.0,2.0,0.5694708824157715,2.146230936050415,0.5697513495311668,1.0,11.0
Y,R,"[1, 3]",1.0,3.0,0.4648888111114502,2.21012282371521,0.746183701026084,1.0,12.0
,,"(3, 3)",,,,,,1.0,
Y,R,"[3, 4]",-1.0,-1.0,0.6580550670623779,7.352304935455322,0.5985125442916233,,13.0
R,U,"[2, 4]",-1.0,-2.0,0.4921541213989258,1.8691680431365967,0.3678909175346251,2.0,14.0
R,U,"[1, 4]",-1.0,-3.0,0.581610918045044,1.904306173324585,0.32215110022221316,2.0,15.0
G,D,"[2, 4]",0.0,-3.0,0.3677058219909668,2.016948938369751,0.6386900175678318,2.0,16.0
B,L,"[2, 3]",-1.0,-4.0,0.2581908702850342,1.554900884628296,0.2938461443403294,2.0,17.0
Y,R,"[2, 4]",0.0,-4.0,0.7861289978027344,2.357473850250244,0.5676364136891994,2.0,18.0
,,"(3, 3)",,,,,,2.0,
R,U,"[2, 3]",-2.0,0.0,1.077214002609253,5.684351921081543,0.3686494883151598,,19.0
R,U,"[1, 3]",1.0,1.0,0.28734612464904785,2.031697988510132,0.7332399438529835,3.0,20.0
B,L,"[1, 2]",1.0,2.0,0.5041220188140869,2.1649110317230225,0.6480853271884266,3.0,21.0
G,D,"[2, 2]",1.0,3.0,0.28046393394470215,1.8146090507507324,0.5294498754692357,3.0,22.0
Y,R,"[2, 3]",0.0,3.0,0.24810385704040527,1.5055060386657715,0.2518862889891497,3.0,23.0
B,L,"[2, 2]",0.0,3.0,0.6419939994812012,1.9394540786743164,0.2912362962241224,3.0,24.0
,,"(3, 3)",,,,,,3.0,
R,U,"[2, 3]",-1.0,-1.0,0.7596900463104248,4.456605911254883,0.6138008585523642,,25.0
G,D,"[3, 3]",0.0,-1.0,0.2474839687347412,1.639601230621338,0.3870263922003671,4.0,26.0
Y,R,"[3, 4]",-1.0,-2.0,0.3259119987487793,1.6823108196258545,0.35265809542641624,4.0,27.0
B,L,"[3, 3]",0.0,-2.0,0.3016691207885742,1.75478196144104,0.4405500922346917,4.0,28.0
R,U,"[2, 3]",0.0,-2.0,0.6876890659332275,2.2117671966552734,0.5353512414588995,4.0,29.0
G,D,"[3, 3]",0.0,-2.0,0.41506099700927734,1.9230730533599854,0.5084545478727696,4.0,30.0
,,"(3, 3)",,,,,,4.0,
R,U,"[2, 3]",-1.0,-1.0,0.6472699642181396,7.378108978271484,0.25318249900513407,,31.0
B,L,"[2, 2]",1.0,0.0,0.23022794723510742,1.8271141052246094,0.5797280717281794,5.0,32.0
G,D,"[3, 2]",1.0,1.0,0.4651050567626953,2.011746883392334,0.5247522593370313,5.0,33.0
B,L,"[3, 1]",1.0,2.0,0.2873411178588867,1.61045503616333,0.3186744414022861,5.0,34.0
G,D,"[4, 1]",-1.0,1.0,0.20270395278930664,1.8110549449920654,0.5959216406007682,5.0,35.0
Y,R,"[4, 2]",-1.0,0.0,0.22296714782714844,1.6871740818023682,0.45003375340729934,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",1.0,1.0,0.9505600929260254,4.963181018829346,0.4963510811943382,,37.0
B,L,"[3, 1]",1.0,2.0,0.42025113105773926,1.7254068851470947,0.28884090447106187,6.0,38.0
B,L,"[3, 0]",0.0,2.0,0.5904769897460938,2.129189968109131,0.5346138546404661,6.0,39.0
G,D,"[4, 0]",0.0,2.0,0.19326305389404297,1.9088189601898193,0.7101455541572178,6.0,40.0
R,U,"[3, 0]",0.0,2.0,0.2852969169616699,1.8761820793151855,0.6032896698067379,6.0,41.0
Y,R,"[3, 1]",0.0,2.0,0.26798486709594727,1.5277471542358398,0.26488250198217933,6.0,42.0
,,"(3, 3)",,,,,,6.0,
B,L,"[3, 2]",1.0,1.0,0.5845580101013184,4.2671051025390625,0.3156174970516927,,43.0
G,D,"[4, 2]",-1.0,0.0,0.21624493598937988,1.9580779075622559,0.7234583062097961,7.0,44.0
B,L,"[4, 1]",-1.0,-1.0,0.263261079788208,1.710425853729248,0.45094100796949144,7.0,45.0
Y,R,"[4, 2]",0.0,-1.0,0.20765399932861328,1.8150849342346191,0.5993302562452546,7.0,46.0
R,U,"[3, 2]",0.0,-1.0,0.2711751461029053,1.8898661136627197,0.6059088952078637,7.0,47.0
R,U,"[2, 2]",1.0,0.0,0.7117221355438232,2.353372097015381,0.6425248795258149,7.0,48.0
,,"(3, 3)",,,,,,7.0,
R,U,"[2, 3]",-1.0,-1.0,0.32174205780029297,6.149397134780884,0.7423332544594767,,49.0
B,L,"[2, 2]",1.0,0.0,0.21329593658447266,1.5395138263702393,0.3157040753875772,8.0,50.0
B,L,"[2, 1]",1.0,1.0,0.197282075881958,1.6018309593200684,0.40084295876809994,8.0,51.0
Y,R,"[2, 2]",0.0,1.0,0.2442021369934082,1.8097541332244873,0.5606031453878577,8.0,52.0
B,L,"[2, 1]",0.0,1.0,0.37342405319213867,2.1109070777893066,0.7378571282718469,8.0,53.0
G,D,"[3, 1]",1.0,2.0,0.24863290786743164,1.8262500762939453,0.5645658321216853,8.0,54.0
,,"(3, 3)",,,,,,8.0,
G,D,"[4, 3]",-1.0,-1.0,0.461698055267334,4.69337010383606,0.42492106261221335,,55.0
R,U,"[3, 3]",0.0,-1.0,0.4872589111328125,2.2142748832702637,0.7222402137661912,9.0,56.0
B,L,"[3, 2]",1.0,0.0,0.16768193244934082,1.5310759544372559,0.3538192244340528,9.0,57.0
B,L,"[3, 1]",1.0,1.0,0.40837597846984863,1.7386600971221924,0.32576628040674394,9.0,58.0
B,L,"[3, 0]",0.0,1.0,0.6130208969116211,2.230968952178955,0.6231613650860953,9.0,59.0
Y,R,"[3, 1]",0.0,1.0,0.22993707656860352,1.7620608806610107,0.5353989124252541,9.0,60.0
,,"(3, 3)",,,,,,9.0,
Y,R,"[3, 4]",-1.0,-1.0,0.9170730113983154,5.007179021835327,0.4427517673571115,,61.0
G,D,"[4, 4]",-1.0,-2.0,0.19535613059997559,1.8785738945007324,0.6877919199589121,10.0,62.0
B,L,"[4, 3]",-1.0,-3.0,0.20813488960266113,1.5491621494293213,0.337326182739927,10.0,63.0
R,U,"[3, 3]",0.0,-3.0,0.2263801097869873,1.6831929683685303,0.45376767248340427,10.0,64.0
R,U,"[2, 3]",-1.0,-4.0,0.21309804916381836,1.879828929901123,0.6502090410480179,10.0,65.0
G,D,"[3, 3]",0.0,-4.0,0.45047998428344727,2.1093850135803223,0.6429164477394298,10.0,66.0
,,"(3, 3)",,,,,,10.0,
R,U,"[2, 3]",-1.0,-1.0,0.6658689975738525,5.698124885559082,0.6575795585717104,,67.0
B,L,"[2, 2]",1.0,0.0,0.3503429889678955,1.9378440380096436,0.5788571105221731,11.0,68.0
B,L,"[2, 1]",-1.0,0.0,0.0800628662109375,5.695468902587891,0.4745685655864987,11.0,69.0
B,L,"[2, 0]",0.0,0.0,0.28493618965148926,1.5678482055664062,0.2759143288953919,11.0,70.0
G,D,"[3, 0]",0.0,0.0,0.3050999641418457,1.8951489925384521,0.5875346051169394,11.0,71.0
B,L,"[3, 0]",0.0,0.0,0.2632780075073242,1.921356201171875,0.6586558222883101,11.0,72.0
,,"(3, 3)",,,,,,11.0,
B,L,"[3, 2]",1.0,1.0,0.7926459312438965,6.400511026382446,0.7259319590225699,,73.0
B,L,"[3, 1]",1.0,2.0,0.23479008674621582,1.5364289283752441,0.3125612731471338,12.0,74.0
