button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 3]",-2.0,0.0,2.410814046859741,3.825451135635376,0.3764222965487467,0.0,1.0
G,D,"[3, 3]",-2.0,0.0,1.27555513381958,2.852942943572998,0.5458868896573135,0.0,2.0
B,L,"[3, 2]",1.0,1.0,0.33171510696411133,1.8992538452148438,0.5784763368087888,0.0,3.0
Y,R,"[3, 3]",0.0,1.0,0.5346469879150391,1.79606294631958,0.2581279544363774,0.0,4.0
G,D,"[4, 3]",-1.0,0.0,0.25996994972229004,2.0181238651275635,0.7423085806603811,0.0,5.0
G,D,"[5, 3]",-1.0,-1.0,0.3381929397583008,1.714540958404541,0.37409363533259843,0.0,6.0
,,"(3, 3)",,,,,,0.0,
R,U,"[2, 3]",-1.0,-1.0,0.5092451572418213,8.480602025985718,0.6210734355371651,,7.0
G,D,"[3, 3]",0.0,-1.0,0.2454390525817871,1.854680061340332,0.609184941257435,1.0,8.0
G,D,"[4, 3]",-1.0,-2.0,0.1014559268951416,1.6421279907226562,0.5348004257534502,1.0,9.0
Y,R,"[4, 4]",-1.0,-3.0,0.2516648769378662,1.874372959136963,0.6091423121594458,1.0,10.0
B,L,"[4, 3]",0.0,-3.0,0.25000786781311035,1.8426358699798584,0.5852120400806438,1.0,11.0
B,L,"[4, 2]",-1.0,-4.0,0.4801969528198242,2.0124521255493164,0.5143755937870237,1.0,12.0
,,"(3, 3)",,,,,,1.0,
R,U,"[2, 3]",-1.0,-1.0,0.3516561985015869,6.005273103713989,0.6029699365503425,,13.0
Y,R,"[2, 4]",-1.0,-2.0,0.16069889068603516,1.650202989578247,0.48666908482929033,2.0,14.0
G,D,"[3, 4]",-1.0,-3.0,0.26859498023986816,1.9272549152374268,0.6472141515689634,2.0,15.0
G,D,"[4, 4]",-1.0,-4.0,0.6072530746459961,1.907196044921875,0.2880450956531983,2.0,16.0
R,U,"[3, 4]",0.0,-4.0,0.29445314407348633,1.7427170276641846,0.4473003861209252,2.0,17.0
Y,R,"[3, 5]",-1.0,-5.0,0.388369083404541,1.755204200744629,0.3526902187654966,2.0,18.0
,,"(3, 3)",,,,,,2.0,
Y,R,"[3, 4]",-1.0,-1.0,0.4142780303955078,6.604650974273682,0.47413710990634755,,19.0
Y,R,"[3, 5]",-1.0,-2.0,0.3777298927307129,1.859753131866455,0.4838322941363106,3.0,20.0
Y,R,"[3, 6]",0.0,-2.0,0.18254899978637695,1.5401170253753662,0.35730118927654675,3.0,21.0
Y,R,"[3, 6]",0.0,-2.0,0.43392109870910645,1.7910170555114746,0.3649493506409991,3.0,22.0
Y,R,"[3, 6]",0.0,-2.0,0.3148961067199707,2.0011069774627686,0.6823523256977087,3.0,23.0
B,L,"[3, 5]",0.0,-2.0,0.2690620422363281,1.5863878726959229,0.3193683272372216,3.0,24.0
,,"(3, 3)",,,,,,3.0,
B,L,"[3, 2]",1.0,1.0,0.7491359710693359,5.198083877563477,0.6506672095075385,,25.0
R,U,"[2, 2]",1.0,2.0,0.5830860137939453,1.8949329853057861,0.29572093194345783,4.0,26.0
G,D,"[3, 2]",0.0,2.0,0.6296489238739014,2.3578920364379883,0.7365465523317822,4.0,27.0
Y,R,"[3, 3]",0.0,2.0,0.301041841506958,1.7850279808044434,0.48838552919563566,4.0,28.0
R,U,"[2, 3]",-1.0,1.0,0.7137608528137207,2.0765328407287598,0.3486172177655176,4.0,29.0
B,L,"[2, 2]",0.0,1.0,0.4434621334075928,2.1956708431243896,0.7437483960632186,4.0,30.0
,,"(3, 3)",,,,,,4.0,
G,D,"[4, 3]",-1.0,-1.0,0.4556729793548584,4.4485859870910645,0.5926288021678503,,31.0
Y,R,"[4, 4]",-1.0,-2.0,0.13852596282958984,1.8749809265136719,0.7340904441716986,5.0,32.0
B,L,"[4, 3]",0.0,-2.0,0.27216005325317383,1.7702138423919678,0.48802856724812893,5.0,33.0
R,U,"[3, 3]",0.0,-2.0,0.26846909523010254,1.8786568641662598,0.616572663413843,5.0,34.0
R,U,"[2, 3]",-1.0,-3.0,0.256195068359375,1.7591688632965088,0.4926415733753882,5.0,35.0
G,D,"[3, 3]",0.0,-3.0,0.16225600242614746,1.9076368808746338,0.7499892207823442,5.0,36.0
,,"(3, 3)",,,,,,5.0,
Y,R,"[3, 4]",-1.0,-1.0,0.2419278621673584,2.9744110107421875,0.6411207535877962,,37.0
B,L,"[3, 3]",-1.0,-1.0,0.017445802688598633,5.439518928527832,0.29787320768177195,6.0,38.0
B,L,"[3, 2]",1.0,0.0,0.3745391368865967,2.053138017654419,0.6671785813643005,6.0,39.0
R,U,"[2, 2]",1.0,1.0,0.13248300552368164,1.7918519973754883,0.6424872025573495,6.0,40.0
G,D,"[3, 2]",0.0,1.0,0.6831710338592529,2.3687689304351807,0.6945436475828874,6.0,41.0
R,U,"[2, 2]",0.0,1.0,0.3143610954284668,1.9467041492462158,0.6412902914695857,6.0,42.0
,,"(3, 3)",,,,,,6.0,
Y,R,"[3, 4]",-1.0,-1.0,0.710637092590332,3.8579649925231934,0.6662723405902014,,43.0
B,L,"[3, 3]",0.0,-1.0,0.35599184036254883,1.8064088821411133,0.43935695614274095,7.0,44.0
R,U,"[2, 3]",-1.0,-2.0,0.31043219566345215,1.9233479499816895,0.6125583535839965,7.0,45.0
G,D,"[3, 3]",0.0,-2.0,0.4264638423919678,1.8159780502319336,0.39544276884605595,7.0,46.0
R,U,"[2, 3]",0.0,-2.0,0.7160449028015137,2.401339054107666,0.6965893031083483,7.0,47.0
Y,R,"[2, 4]",-1.0,-3.0,0.26315784454345703,1.6451051235198975,0.3586748262254992,7.0,48.0
,,"(3, 3)",,,,,,7.0,
B,L,"[3, 2]",1.0,1.0,0.3665189743041992,3.2462689876556396,0.42171018756332573,,49.0
Y,R,"[3, 3]",0.0,1.0,0.16326904296875,1.4811618328094482,0.3195228624940079,8.0,50.0
G,D,"[4, 3]",-1.0,0.0,0.7547509670257568,2.2161309719085693,0.4521370956089909,8.0,51.0
Y,R,"[4, 4]",-1.0,0.0,0.08624792098999023,5.837623119354248,0.6230034882168383,8.0,52.0
Y,R,"[4, 5]",-1.0,-1.0,0.6750469207763672,2.1845040321350098,0.5077512105346373,8.0,53.0
R,U,"[3, 5]",-1.0,-2.0,0.43493103981018066,2.154137134552002,0.7118467924780232,8.0,54.0
,,"(3, 3)",,,,,,8.0,
B,L,"[3, 2]",1.0,1.0,0.3664219379425049,4.8987181186676025,0.4942189170722369,,55.0
R,U,"[2, 2]",1.0,2.0,0.745276927947998,2.335909128189087,0.5965154490403526,9.0,56.0
G,D,"[3, 2]",-2.0,2.0,1.0026540756225586,2.4195258617401123,0.38314789389032805,9.0,57.0
G,D,"[4, 2]",-1.0,1.0,0.5555369853973389,2.0470190048217773,0.47998858840316166,9.0,58.0
Y,R,"[4, 3]",-1.0,0.0,0.25260400772094727,1.9428038597106934,0.6726446843050973,9.0,59.0
R,U,"[3, 3]",0.0,0.0,0.25945091247558594,1.6728579998016357,0.4124827095852443,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",1.0,1.0,0.4316089153289795,3.459105968475342,0.6879094046948331,,61.0
B,L,"[3, 1]",1.0,2.0,0.2471599578857422,1.7495908737182617,0.5043852133774518,10.0,62.0
R,U,"[2, 1]",1.0,3.0,0.2062530517578125,1.4622371196746826,0.2501770092099389,10.0,63.0
Y,R,"[2, 2]",1.0,4.0,0.3108079433441162,1.5749101638793945,0.25853846775782513,10.0,64.0
G,D,"[3, 2]",0.0,4.0,0.3989830017089844,1.9710519313812256,0.5626284829455721,10.0,65.0
