button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
G,D,"[4, 3]",-2.0,0.0,1.9353389739990234,3.372189998626709,0.4065730270804127,0.0,1.0
B,L,"[4, 2]",-1.0,-1.0,0.5697588920593262,2.2386250495910645,0.6618840704019961,0.0,2.0
G,D,"[5, 2]",-1.0,-2.0,0.6382219791412354,2.0792460441589355,0.44158151431995957,0.0,3.0
B,L,"[5, 1]",-1.0,-3.0,0.9629178047180176,2.607344150543213,0.6488789696764812,0.0,4.0
Y,R,"[5, 2]",0.0,-3.0,0.46446895599365234,1.8311290740966797,0.36386094552658593,0.0,5.0
R,U,"[4, 2]",0.0,-3.0,0.33211302757263184,1.878598928451538,0.5424547965001418,0.0,6.0
,,"(3, 3)",,,,,,0.0,
R,U,"[2, 3]",-2.0,0.0,1.7359490394592285,8.642200946807861,0.7354482619760636,,7.0
R,U,"[1, 3]",1.0,1.0,0.2640061378479004,1.5475749969482422,0.26703610303714587,1.0,8.0
Y,R,"[1, 4]",-1.0,0.0,0.47305989265441895,2.1858279705047607,0.7024616188628472,1.0,9.0
R,U,"[0, 4]",0.0,0.0,0.3748319149017334,1.9156608581542969,0.5353915869060404,1.0,10.0
G,D,"[1, 4]",0.0,0.0,0.1840221881866455,1.8453760147094727,0.663890374431895,1.0,11.0
B,L,"[1, 3]",0.0,0.0,0.18418097496032715,1.5407960414886475,0.35508288615524125,1.0,12.0
,,"(3, 3)",,,,,,1.0,
R,U,"[2, 3]",-1.0,-1.0,0.45726609230041504,6.403141975402832,0.30878747291897407,,13.0
G,D,"[3, 3]",0.0,-1.0,0.32011890411376953,2.0566539764404297,0.7318564841310096,2.0,14.0
B,L,"[3, 2]",1.0,0.0,0.2703979015350342,1.8735151290893555,0.5890679994994659,2.0,15.0
Y,R,"[3, 3]",0.0,0.0,0.4247438907623291,1.7685160636901855,0.3412741059577912,2.0,16.0
B,L,"[3, 2]",0.0,0.0,0.621129035949707,2.3190560340881348,0.7102021257045754,2.0,17.0
B,L,"[3, 1]",1.0,1.0,0.6396558284759521,2.051190137863159,0.41202013514948976,2.0,18.0
,,"(3, 3)",,,,,,2.0,
B,L,"[3, 2]",1.0,1.0,0.6895878314971924,5.893667936325073,0.3062227550981502,,19.0
G,D,"[4, 2]",-1.0,0.0,0.3788440227508545,1.6941430568695068,0.3005110395370402,3.0,20.0
B,L,"[4, 1]",-1.0,-1.0,0.583859920501709,1.9788498878479004,0.37944285540573724,3.0,21.0
R,U,"[3, 1]",1.0,0.0,0.17612814903259277,1.663809061050415,0.476437925961915,3.0,22.0
R,U,"[2, 1]",1.0,1.0,0.2140200138092041,1.5238440036773682,0.31738191388438314,3.0,23.0
R,U,"[1, 1]",-1.0,0.0,0.3785679340362549,1.725358009338379,0.32619633435734735,3.0,24.0
,,"(3, 3)",,,,,,3.0,
R,U,"[2, 3]",-1.0,-1.0,0.6628990173339844,5.708835124969482,0.6017633338348617,,25.0
B,L,"[2, 2]",1.0,0.0,0.2522869110107422,1.9960319995880127,0.7311977004079957,4.0,26.0
B,L,"[2, 1]",1.0,1.0,0.3114910125732422,1.905303955078125,0.5867111950539606,4.0,27.0
B,L,"[2, 0]",0.0,1.0,0.36449480056762695,1.890477180480957,0.5272879162333599,4.0,28.0
Y,R,"[2, 1]",0.0,1.0,0.3375051021575928,2.08207106590271,0.7427011808848565,4.0,29.0
G,D,"[3, 1]",1.0,2.0,0.513908863067627,2.259497880935669,0.735631042722218,4.0,30.0
,,"(3, 3)",,,,,,4.0,
B,L,"[3, 2]",1.0,1.0,0.65299391746521,5.468898057937622,0.7051029327708993,,31.0
B,L,"[3, 1]",1.0,2.0,0.25888895988464355,1.9145269393920898,0.6529512829642194,5.0,32.0
B,L,"[3, 0]",0.0,2.0,0.3815891742706299,1.9947571754455566,0.6146236962839686,5.0,33.0
G,D,"[4, 0]",0.0,2.0,0.40759992599487305,2.116166830062866,0.6974442398201721,5.0,34.0
R,U,"[3, 0]",0.0,2.0,0.23187017440795898,1.4969580173492432,0.26183644218637897,5.0,35.0
