button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 2]",-2.0,0.0,2.0654561519622803,3.5007808208465576,0.4016091909650328,0.0,1.0
G,D,"[4, 2]",-1.0,-1.0,0.98471999168396,2.537034034729004,0.5386659871505365,0.0,2.0
Y,R,"[4, 3]",-2.0,-1.0,1.7051749229431152,3.4486429691314697,0.7201786351616339,0.0,3.0
R,U,"[3, 3]",0.0,-1.0,0.35711216926574707,1.6874070167541504,0.324496841910975,0.0,4.0
G,D,"[4, 3]",0.0,-1.0,0.34970712661743164,1.9171350002288818,0.5747906868394981,0.0,5.0
B,L,"[4, 2]",0.0,-1.0,0.330981969833374,1.7505221366882324,0.42533827527877976,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",1.0,1.0,0.9274158477783203,9.30729603767395,0.3825286885448713,,7.0
G,D,"[4, 2]",-1.0,0.0,0.5622091293334961,2.134510040283203,0.5501205187752607,1.0,8.0
B,L,"[4, 1]",-1.0,-1.0,0.6470701694488525,1.9248847961425781,0.27532674032514837,1.0,9.0
Y,R,"[4, 2]",0.0,-1.0,0.7971088886260986,2.2704389095306396,0.4786211101332933,1.0,10.0
R,U,"[3, 2]",0.0,-1.0,0.5494499206542969,2.2623372077941895,0.7240837503580952,1.0,11.0
G,D,"[4, 2]",0.0,-1.0,0.39780211448669434,1.8258259296417236,0.43337728973748846,1.0,12.0
,,"(3, 3)",,,,,,1.0,
Y,R,"[3, 4]",-1.0,-1.0,0.7509708404541016,8.137976884841919,0.587638236895766,,13.0
B,L,"[3, 3]",0.0,-1.0,0.4629678726196289,2.15513277053833,0.692422671175204,2.0,14.0
G,D,"[4, 3]",-1.0,-2.0,0.2781970500946045,1.5968499183654785,0.30639419427776377,2.0,15.0
R,U,"[3, 3]",0.0,-2.0,0.4648780822753906,1.822171926498413,0.3617081166009572,2.0,16.0
B,L,"[3, 2]",1.0,-1.0,0.2061479091644287,1.9190220832824707,0.7137214361857809,2.0,17.0
Y,R,"[3, 3]",0.0,-1.0,0.2899599075317383,1.6288621425628662,0.3261476549470704,2.0,18.0
,,"(3, 3)",,,,,,2.0,
B,L,"[3, 2]",1.0,1.0,0.5092360973358154,4.285465955734253,0.34493875482823955,,19.0
B,L,"[3, 1]",1.0,2.0,0.322829008102417,1.6592109203338623,0.33751325552102435,3.0,20.0
B,L,"[3, 0]",0.0,2.0,0.34201502799987793,1.6947507858276367,0.3486753003989803,3.0,21.0
G,D,"[4, 0]",0.0,2.0,0.44801878929138184,2.1314780712127686,0.6797950863192935,3.0,22.0
B,L,"[4, 0]",0.0,2.0,0.35961008071899414,1.7922379970550537,0.42200328000860593,3.0,23.0
R,U,"[3, 0]",0.0,2.0,0.3922281265258789,1.9839019775390625,0.5894622366756951,3.0,24.0
,,"(3, 3)",,,,,,3.0,
B,L,"[3, 2]",1.0,1.0,0.6643679141998291,7.705931901931763,0.594832430705641,,25.0
B,L,"[3, 1]",1.0,2.0,0.2878909111022949,1.9589848518371582,0.6704479599371249,4.0,26.0
B,L,"[3, 0]",0.0,2.0,0.341094970703125,1.6863679885864258,0.3404184826132559,4.0,27.0
Y,R,"[3, 1]",0.0,2.0,0.5878109931945801,2.320380926132202,0.7270081306001138,4.0,28.0
G,D,"[4, 1]",-1.0,1.0,0.7230441570281982,2.2808849811553955,0.5578758017328471,4.0,29.0
Y,R,"[4, 2]",-1.0,0.0,0.41168999671936035,1.70438814163208,0.29596999737123253,4.0,30.0
,,"(3, 3)",,,,,,4.0,
B,L,"[3, 2]",1.0,1.0,0.5021858215332031,6.042298078536987,0.5209537124166552,,31.0
B,L,"[3, 1]",1.0,2.0,0.2794928550720215,1.8426120281219482,0.563846682945456,5.0,32.0
B,L,"[3, 0]",0.0,2.0,0.38257789611816406,2.0663530826568604,0.6798144991491496,5.0,33.0
Y,R,"[3, 1]",0.0,2.0,0.7918481826782227,2.1032350063323975,0.29997401360956594,5.0,34.0
Y,R,"[3, 2]",0.0,2.0,0.6808109283447266,1.9972100257873535,0.31372997407521286,5.0,35.0
G,D,"[4, 2]",-1.0,1.0,0.5328397750854492,2.0925228595733643,0.5394071186667349,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",1.0,1.0,0.8177080154418945,4.5073630809783936,0.4966115469123028,,37.0
B,L,"[3, 1]",1.0,2.0,0.24876093864440918,1.647603988647461,0.3774903882644101,6.0,38.0
B,L,"[3, 0]",0.0,2.0,0.6892800331115723,2.291985034942627,0.6024162952936771,6.0,39.0
Y,R,"[3, 1]",0.0,2.0,0.7752399444580078,2.361480951309204,0.5807547282166517,6.0,40.0
B,L,"[3, 0]",0.0,2.0,0.38559889793395996,1.7446510791778564,0.3588997920189983,6.0,41.0
B,L,"[3, 0]",0.0,2.0,0.3902888298034668,2.031975030899048,0.6404654544590396,6.0,42.0
,,"(3, 3)",,,,,,6.0,
B,L,"[3, 2]",1.0,1.0,0.6548898220062256,3.411597967147827,0.26910042708700305,,43.0
B,L,"[3, 1]",1.0,2.0,0.48336005210876465,1.8122291564941406,0.33110754572950823,7.0,44.0
B,L,"[3, 0]",0.0,2.0,0.6926100254058838,2.0379838943481445,0.3356920753220186,7.0,45.0
Y,R,"[3, 1]",0.0,2.0,0.3372011184692383,1.6940560340881348,0.36301778515628014,7.0,46.0
B,L,"[3, 0]",0.0,2.0,0.31705617904663086,1.824186086654663,0.5036633874265453,7.0,47.0
Y,R,"[3, 1]",0.0,2.0,0.3093698024749756,1.8277299404144287,0.5146689602986866,7.0,48.0
,,"(3, 3)",,,,,,7.0,
B,L,"[3, 2]",1.0,1.0,0.5949540138244629,3.4683618545532227,0.6829345082485709,,49.0
B,L,"[3, 1]",1.0,2.0,0.19231891632080078,1.5059809684753418,0.30557662872783187,8.0,50.0
B,L,"[3, 0]",0.0,2.0,0.38225889205932617,1.8273530006408691,0.44975238805766654,8.0,51.0
Y,R,"[3, 1]",0.0,2.0,0.2960190773010254,1.781329870223999,0.4806450713347209,8.0,52.0
B,L,"[3, 0]",0.0,2.0,0.30454587936401367,1.7493488788604736,0.43010863513132985,8.0,53.0
Y,R,"[3, 1]",0.0,2.0,0.4284210205078125,1.9961731433868408,0.5592416450655897,8.0,54.0
,,"(3, 3)",,,,,,8.0,
B,L,"[3, 2]",-2.0,0.0,1.0570218563079834,3.6332521438598633,0.5260987012472571,,55.0
B,L,"[3, 1]",1.0,1.0,0.4567539691925049,1.828693151473999,0.3713679983813032,9.0,56.0
B,L,"[3, 0]",0.0,1.0,0.23378705978393555,1.8608269691467285,0.6322086431593483,9.0,57.0
Y,R,"[3, 1]",0.0,1.0,0.25571489334106445,1.994575023651123,0.7263776801400739,9.0,58.0
B,L,"[3, 0]",0.0,1.0,0.20138812065124512,1.5415818691253662,0.3516820523251037,9.0,59.0
Y,R,"[3, 1]",0.0,1.0,0.30933284759521484,1.7523648738861084,0.43713338344287395,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",1.0,1.0,0.2814748287200928,3.328786849975586,0.7487345644348568,,61.0
B,L,"[3, 1]",1.0,2.0,0.18803620338439941,1.4865851402282715,0.28576715949848125,10.0,62.0
B,L,"[3, 0]",0.0,2.0,0.33953285217285156,1.8100311756134033,0.46231033396634186,10.0,63.0
Y,R,"[3, 1]",0.0,2.0,0.23581600189208984,1.8176031112670898,0.5962367345894404,10.0,64.0
B,L,"[3, 0]",0.0,2.0,0.19816112518310547,1.8499500751495361,0.6461324122388852,10.0,65.0
