button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 2]",1.0,1.0,0.5875561237335205,4.2676451206207275,0.647357772552972,,55.0
B,L,"[3, 1]",1.0,2.0,0.16428303718566895,1.8502600193023682,0.6809430912511534,9.0,56.0
R,U,"[2, 1]",-1.0,2.0,0.07695484161376953,5.813670873641968,0.595068394156085,9.0,57.0
R,U,"[1, 1]",-1.0,1.0,0.2974541187286377,1.9439888000488281,0.6389056604015132,9.0,58.0
Y,R,"[1, 2]",1.0,2.0,0.20162010192871094,1.8439898490905762,0.6329441772167574,9.0,59.0
Y,R,"[1, 3]",1.0,3.0,0.19146203994750977,1.8469109535217285,0.6465032948395679,9.0,60.0
,,"(3, 3)",,,,,,9.0,
B,L,"[3, 2]",1.0,1.0,0.4301109313964844,6.86006498336792,0.2570555815252792,,61.0
B,L,"[3, 1]",1.0,2.0,0.22089195251464844,1.761267900466919,0.551542714583878,10.0,62.0
R,U,"[2, 1]",1.0,3.0,0.19930315017700195,1.7043662071228027,0.5060080886333999,10.0,63.0
Y,R,"[2, 2]",1.0,4.0,0.18221211433410645,1.7458469867706299,0.5517986005966453,10.0,64.0
Y,R,"[2, 3]",-1.0,3.0,0.18829011917114258,1.758188009262085,0.559886957540894,10.0,65.0
G,D,"[3, 3]",0.0,3.0,0.3015937805175781,1.7836639881134033,0.4770222739386915,10.0,66.0
,,"(3, 3)",,,,,,10.0,
B,L,"[3, 2]",1.0,1.0,0.34700894355773926,4.130061864852905,0.5071612753946666,,67.0
B,L,"[3, 1]",1.0,2.0,0.16001391410827637,1.4310598373413086,0.27178376936752696,11.0,68.0
R,U,"[2, 1]",1.0,3.0,0.20976805686950684,1.8793768882751465,0.6674049614843345,11.0,69.0
Y,R,"[2, 2]",1.0,4.0,0.18147516250610352,1.7865891456604004,0.604148577469066,11.0,70.0
R,U,"[1, 2]",1.0,5.0,0.18236398696899414,1.4599599838256836,0.26457576265747385,11.0,71.0
R,U,"[0, 2]",0.0,5.0,0.23755192756652832,1.6933469772338867,0.4409853015227722,11.0,72.0
,,"(3, 3)",,,,,,11.0,
B,L,"[3, 2]",1.0,1.0,0.44179487228393555,3.6043410301208496,0.46222472179595814,,73.0
B,L,"[3, 1]",1.0,2.0,0.13922381401062012,1.6672289371490479,0.5293594991433419,12.0,74.0
R,U,"[2, 1]",1.0,3.0,0.14984703063964844,1.7540829181671143,0.5998873905360641,12.0,75.0
Y,R,"[2, 2]",1.0,4.0,0.1981830596923828,1.4517881870269775,0.25212892827300665,12.0,76.0
R,U,"[1, 2]",1.0,5.0,0.1942000389099121,1.7605299949645996,0.5623318036565905,12.0,77.0
R,U,"[0, 2]",0.0,5.0,0.17734599113464355,1.458184003829956,0.287446557201354,12.0,78.0
,,"(3, 3)",,,,,,12.0,
B,L,"[3, 2]",1.0,1.0,0.35083699226379395,3.9402248859405518,0.3279397307960985,,79.0
B,L,"[3, 1]",1.0,2.0,0.17331600189208984,1.7922821044921875,0.6198110492551459,13.0,80.0
R,U,"[2, 1]",1.0,3.0,0.18540501594543457,1.8017370700836182,0.6048588709832008,13.0,81.0
Y,R,"[2, 2]",1.0,4.0,0.17691397666931152,1.5541050434112549,0.3758506655447376,13.0,82.0
R,U,"[1, 2]",1.0,5.0,0.2325890064239502,1.8344459533691406,0.5934822811183293,13.0,83.0
R,U,"[0, 2]",0.0,5.0,0.20461010932922363,1.911311149597168,0.704622677476306,13.0,84.0
,,"(3, 3)",,,,,,13.0,
B,L,"[3, 2]",1.0,1.0,0.39241909980773926,3.477199077606201,0.3157507083077497,,85.0
