button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
R,U,"[2, 3]",-1.0,-1.0,0.842897891998291,2.467982053756714,0.6029891014386131,0.0,1.0
G,D,"[3, 3]",0.0,-1.0,0.8709390163421631,2.294177770614624,0.41481889938751065,0.0,2.0
B,L,"[3, 2]",1.0,0.0,0.41001200675964355,2.1502468585968018,0.7313425589401447,0.0,3.0
Y,R,"[3, 3]",0.0,0.0,0.4073300361633301,1.7266809940338135,0.3073437494692126,0.0,4.0
B,L,"[3, 2]",0.0,0.0,0.6216590404510498,2.311532974243164,0.6842913468369101,0.0,5.0
G,D,"[4, 2]",-1.0,-1.0,0.4581890106201172,1.8192508220672607,0.35274869457993463,0.0,6.0
,,"(3, 3)",,,,,,0.0,
B,L,"[3, 2]",-2.0,0.0,1.6838040351867676,7.953740119934082,0.6206868742082017,,7.0
G,D,"[4, 2]",-1.0,-1.0,0.3719470500946045,1.7157950401306152,0.33606998179479514,1.0,8.0
Y,R,"[4, 3]",-1.0,-2.0,0.29717016220092773,1.8371851444244385,0.5395461976781817,1.0,9.0
R,U,"[3, 3]",0.0,-2.0,0.16683197021484375,1.5719079971313477,0.39448015946757187,1.0,10.0
B,L,"[3, 2]",0.0,-2.0,0.22409892082214355,1.6184871196746826,0.3960483057166352,1.0,11.0
G,D,"[4, 2]",0.0,-2.0,0.6558120250701904,2.382150173187256,0.7109777338494074,1.0,12.0
,,"(3, 3)",,,,,,1.0,
R,U,"[2, 3]",-1.0,-1.0,0.549232006072998,3.650038957595825,0.6107462549568016,,13.0
B,L,"[2, 2]",1.0,0.0,0.36315298080444336,1.778597116470337,0.40638301256676335,2.0,14.0
Y,R,"[2, 3]",0.0,0.0,0.17711186408996582,1.6664841175079346,0.48906552901887784,2.0,15.0
B,L,"[2, 2]",0.0,0.0,0.16216015815734863,1.5657191276550293,0.40464432493913766,2.0,16.0
Y,R,"[2, 3]",0.0,0.0,0.2683370113372803,1.5367341041564941,0.27479252992949027,2.0,17.0
B,L,"[2, 2]",0.0,0.0,0.7368288040161133,2.026793956756592,0.30160894062306143,2.0,18.0
,,"(3, 3)",,,,,,2.0,
R,U,"[2, 3]",-1.0,-1.0,0.8814318180084229,3.5291788578033447,0.6137718548992002,,19.0
G,D,"[3, 3]",0.0,-1.0,0.16308903694152832,1.7831709384918213,0.6136845793976606,3.0,20.0
Y,R,"[3, 4]",-1.0,-2.0,0.14980101585388184,1.7444210052490234,0.5915049768573382,3.0,21.0
B,L,"[3, 3]",0.0,-2.0,0.14737606048583984,1.4328060150146484,0.2914689611798531,3.0,22.0
R,U,"[2, 3]",0.0,-2.0,0.19304800033569336,1.75919508934021,0.5671136414666511,3.0,23.0
G,D,"[3, 3]",0.0,-2.0,0.46244001388549805,2.2024800777435303,0.7362099370752351,3.0,24.0
,,"(3, 3)",,,,,,3.0,
R,U,"[2, 3]",-1.0,-1.0,0.6681559085845947,3.5824649333953857,0.7022205711783908,,25.0
B,L,"[2, 2]",1.0,0.0,0.19201016426086426,1.737285852432251,0.5397089884018202,4.0,26.0
Y,R,"[2, 3]",0.0,0.0,0.18057703971862793,1.6663570404052734,0.48991606099789253,4.0,27.0
B,L,"[2, 2]",0.0,0.0,0.13396096229553223,1.7427010536193848,0.6159025412484755,4.0,28.0
Y,R,"[2, 3]",0.0,0.0,0.2578730583190918,1.5523319244384766,0.2855873893457071,4.0,29.0
B,L,"[2, 2]",0.0,0.0,0.3707890510559082,1.7151179313659668,0.3342129708577084,4.0,30.0
,,"(3, 3)",,,,,,4.0,
