button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",-2.0,0.0,2.9795470237731934,4.619339942932129,0.6032025781615219,0.0,1.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.5437610149383545,1.9423060417175293,0.29568042397928535,0.0,2.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.8964359760284424,2.3685009479522705,0.3808380534179374,0.0,3.0,0.0
R,U,"[5, 9]",0.0,2.0,0.3246331214904785,1.9134290218353271,0.4773342584024029,0.0,4.0,0.0
B,L,"[5, 8]",1.0,3.0,0.5035231113433838,1.8731050491333008,0.28395946847604875,0.0,5.0,0.0
B,L,"[5, 7]",1.0,4.0,0.4399600028991699,1.8714399337768555,0.32199641250502803,0.0,6.0,0.0
Y,R,"[5, 8]",0.0,4.0,0.4254179000854492,1.9309771060943604,0.4028689707462041,0.0,7.0,0.0
R,U,"[4, 8]",0.0,4.0,0.700192928314209,2.2129499912261963,0.41566902679533413,0.0,8.0,0.0
R,U,"[3, 8]",-2.0,4.0,2.38720703125,4.02863883972168,0.6105655852717872,0.0,9.0,0.0
R,U,"[2, 8]",0.0,4.0,0.2774829864501953,1.855055809020996,0.4823870612877914,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.6329419612884521,8.104566097259521,0.40349766455246316,1.0,11.0,0.0
R,U,"[5, 7]",1.0,1.0,0.35736608505249023,1.9577860832214355,0.49459345834995794,1.0,12.0,0.0
R,U,"[4, 7]",0.0,1.0,0.30964016914367676,1.8977620601654053,0.4923303035861454,1.0,13.0,0.0
G,D,"[5, 7]",0.0,1.0,0.28862500190734863,1.7417690753936768,0.36734544560549637,1.0,14.0,0.0
B,L,"[5, 6]",1.0,2.0,0.27776479721069336,2.0282578468322754,0.6454011267478119,1.0,15.0,0.0
G,D,"[6, 6]",0.0,2.0,0.15193486213684082,1.7793068885803223,0.5412968318689563,1.0,16.0,0.0
B,L,"[6, 5]",0.0,2.0,0.25566983222961426,1.8007760047912598,0.4421372513644504,1.0,17.0,0.0
Y,R,"[6, 6]",0.0,2.0,0.25148510932922363,2.0575239658355713,0.7163380780729889,1.0,18.0,0.0
Y,R,"[6, 7]",0.0,2.0,0.14995193481445312,1.6338858604431152,0.383556209179636,1.0,19.0,0.0
R,U,"[5, 7]",0.0,2.0,0.32840394973754883,2.154726028442383,0.7211852599245528,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.3309040069580078,6.642024040222168,0.5799277851434677,2.0,21.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.4132840633392334,1.818084955215454,0.2981727090464539,2.0,22.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.41965198516845703,1.7821638584136963,0.26342302373916293,2.0,23.0,0.0
R,U,"[5, 9]",0.0,2.0,0.6742968559265137,2.4488539695739746,0.6618370082115294,2.0,24.0,0.0
Y,R,"[5, 10]",1.0,3.0,0.2728400230407715,1.9058668613433838,0.5512772284128571,2.0,25.0,0.0
G,D,"[6, 10]",1.0,4.0,0.3347330093383789,2.168458938598633,0.7360901047459586,2.0,26.0,0.0
B,L,"[6, 9]",0.0,4.0,0.4184138774871826,1.803529977798462,0.2900763511557123,2.0,27.0,0.0
B,L,"[6, 8]",0.0,4.0,0.7585718631744385,2.1517980098724365,0.2917069203096193,2.0,28.0,0.0
R,U,"[5, 8]",1.0,5.0,0.541499137878418,2.313572883605957,0.6716139072267941,2.0,29.0,0.0
Y,R,"[5, 9]",-2.0,5.0,1.9889109134674072,3.5729269981384277,0.544454819174549,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.7082169055938721,7.097177028656006,0.6912666948150581,3.0,31.0,0.0
R,U,"[5, 7]",1.0,1.0,0.21591997146606445,1.9121429920196533,0.6034718466870614,3.0,32.0,0.0
R,U,"[4, 7]",0.0,1.0,0.2351691722869873,1.748279094696045,0.41851954660398555,3.0,33.0,0.0
B,L,"[4, 6]",0.0,1.0,0.3541901111602783,2.0708940029144287,0.6226479508854605,3.0,34.0,0.0
G,D,"[5, 6]",1.0,2.0,0.3174769878387451,1.845041036605835,0.4344766897485545,3.0,35.0,0.0
G,D,"[6, 6]",0.0,2.0,0.3883810043334961,1.938398838043213,0.4560980092080391,3.0,36.0,0.0
R,U,"[5, 6]",0.0,2.0,0.3001070022583008,1.755741834640503,0.36177084858188946,3.0,37.0,0.0
Y,R,"[5, 7]",0.0,2.0,0.24806499481201172,1.8949520587921143,0.5565063255953803,3.0,38.0,0.0
G,D,"[6, 7]",0.0,2.0,0.3310108184814453,1.860579013824463,0.4336974735242343,3.0,39.0,0.0
G,D,"[7, 7]",0.0,2.0,0.6324748992919922,2.095695972442627,0.36286525684360144,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.2195601463317871,6.226001977920532,0.6717896269769166,4.0,41.0,0.0
R,U,"[5, 7]",1.0,1.0,0.25803399085998535,1.914233922958374,0.5527377122076296,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,2.0,0.15868592262268066,1.6208200454711914,0.35700619629919034,4.0,43.0,0.0
Y,R,"[5, 9]",0.0,2.0,0.26933789253234863,2.067811965942383,0.7077614073783379,4.0,44.0,0.0
Y,R,"[5, 10]",1.0,3.0,0.26250600814819336,2.011958122253418,0.6529832862171079,4.0,45.0,0.0
