button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",-2.0,0.0,1.9728689193725586,3.6240930557250977,0.6080150723281799,0.0,1.0,0.0
G,D,"[6, 6]",0.0,0.0,0.5234808921813965,1.9925918579101562,0.36764815462495526,0.0,2.0,0.0
B,L,"[6, 5]",0.0,0.0,0.5670781135559082,2.4109740257263184,0.7448315568865662,0.0,3.0,0.0
R,U,"[5, 5]",0.0,0.0,0.34610700607299805,1.9172990322113037,0.47866902924241866,0.0,4.0,0.0
Y,R,"[5, 6]",0.0,0.0,0.2536640167236328,1.815438985824585,0.4609757964279084,0.0,5.0,0.0
B,L,"[5, 5]",0.0,0.0,0.1820530891418457,1.56951904296875,0.29727963160136217,0.0,6.0,0.0
G,D,"[6, 5]",0.0,0.0,0.20738506317138672,1.9757239818572998,0.6559233038419221,0.0,7.0,0.0
G,D,"[7, 5]",0.0,0.0,0.23599600791931152,1.9504411220550537,0.6229066701042881,0.0,8.0,0.0
G,D,"[8, 5]",0.0,0.0,0.22449111938476562,1.856071949005127,0.529112015432124,0.0,9.0,0.0
G,D,"[9, 5]",0.0,0.0,0.11706113815307617,1.7678141593933105,0.5467362144372658,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7416019439697266,11.163872957229614,0.46033431024537125,1.0,11.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2451038360595703,1.9861068725585938,0.6461727583881418,1.0,12.0,0.0
Y,R,"[4, 7]",0.0,1.0,0.2739238739013672,1.6816630363464355,0.29504852932991454,1.0,13.0,0.0
Y,R,"[4, 8]",0.0,1.0,0.3273169994354248,1.9353001117706299,0.5134178214316607,1.0,14.0,0.0
B,L,"[4, 7]",0.0,1.0,0.1982560157775879,2.0141961574554443,0.7106104556225444,1.0,15.0,0.0
B,L,"[4, 6]",0.0,1.0,0.23926186561584473,1.6937360763549805,0.35444493683349015,1.0,16.0,0.0
G,D,"[5, 6]",0.0,1.0,0.31375908851623535,1.9474740028381348,0.5353344505668667,1.0,17.0,0.0
B,L,"[5, 5]",0.0,1.0,0.19316387176513672,1.7535500526428223,0.45525573655521356,1.0,18.0,0.0
G,D,"[6, 5]",-1.0,1.0,0.08724021911621094,5.521262884140015,0.29313117918872594,1.0,19.0,0.0
G,D,"[7, 5]",0.0,1.0,0.41437792778015137,1.8596320152282715,0.3527086821988302,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.7303788661956787,5.190474033355713,0.3095801941653258,2.0,21.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.23927092552185059,1.7649779319763184,0.42460220955614303,2.0,22.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.2639329433441162,1.8547420501708984,0.49580253555287346,2.0,23.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.21082091331481934,1.7243969440460205,0.40346416804989144,2.0,24.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.2090451717376709,1.642982006072998,0.3298312295471898,2.0,25.0,0.0
Y,R,"[6, 10]",-3.0,3.0,0.24522995948791504,1.7141740322113037,0.360682868192366,2.0,26.0,0.0
B,L,"[6, 9]",-2.0,3.0,1.0131890773773193,2.3922860622406006,0.35289334874850503,2.0,27.0,0.0
B,L,"[6, 8]",0.0,3.0,0.3652939796447754,1.7876942157745361,0.3237739255373534,2.0,28.0,0.0
G,D,"[7, 8]",0.0,3.0,0.3587768077850342,2.0278289318084717,0.5682475427160415,2.0,29.0,0.0
G,D,"[8, 8]",0.0,3.0,0.19274497032165527,1.9233829975128174,0.6413055172326141,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6700429916381836,5.780609130859375,0.605322783953669,3.0,31.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2472820281982422,1.8520560264587402,0.5071643383467628,3.0,32.0,0.0
G,D,"[5, 6]",0.0,1.0,0.24019289016723633,1.603276014328003,0.2608375303651772,3.0,33.0,0.0
B,L,"[5, 5]",0.0,1.0,0.23525786399841309,1.9948749542236328,0.6715992517963376,3.0,34.0,0.0
G,D,"[6, 5]",-1.0,1.0,0.03154706954956055,5.47711181640625,0.31559436698995946,3.0,35.0,0.0
G,D,"[7, 5]",0.0,1.0,0.8060591220855713,2.2951838970184326,0.37728556454605316,3.0,36.0,0.0
G,D,"[8, 5]",0.0,1.0,0.3333878517150879,1.7234830856323242,0.3007553840699816,3.0,37.0,0.0
G,D,"[9, 5]",0.0,1.0,0.3331739902496338,1.9887359142303467,0.5559909326135115,3.0,38.0,0.0
G,D,"[10, 5]",0.0,1.0,0.2876598834991455,1.9754979610443115,0.5980902889306878,3.0,39.0,0.0
G,D,"[11, 5]",0.0,1.0,0.2793610095977783,2.0867269039154053,0.7012628623937958,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.3058290481567383,9.030362844467163,0.29840862838472,4.0,41.0,0.0
B,L,"[6, 6]",0.0,0.0,0.2207930088043213,2.059691905975342,0.7408422404883327,4.0,42.0,0.0
R,U,"[5, 6]",1.0,1.0,0.25945401191711426,1.794585943222046,0.43572957645314625,4.0,43.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2455301284790039,1.6844871044158936,0.3367789597106366,4.0,44.0,0.0
G,D,"[5, 6]",0.0,1.0,0.2427821159362793,1.7179341316223145,0.3713172185454526,4.0,45.0,0.0
G,D,"[6, 6]",0.0,1.0,0.27367091178894043,2.1148290634155273,0.7356964404938672,4.0,46.0,0.0
G,D,"[7, 6]",0.0,1.0,0.20877289772033691,1.9996330738067627,0.6853599674662851,4.0,47.0,0.0
B,L,"[7, 5]",0.0,1.0,0.28350210189819336,1.8462707996368408,0.46512688594036294,4.0,48.0,0.0
Y,R,"[7, 6]",-1.0,1.0,0.016669034957885742,5.749089002609253,0.5973216729838423,4.0,49.0,0.0
G,D,"[8, 6]",0.0,1.0,0.15471410751342773,1.7886741161346436,0.5360196361220116,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.2177140712738037,3.5962281227111816,0.6152743041950016,5.0,51.0,0.0
B,L,"[6, 6]",0.0,0.0,0.27505016326904297,1.806941032409668,0.4222596090298274,5.0,52.0,0.0
B,L,"[6, 5]",-1.0,0.0,0.05245494842529297,5.640570163726807,0.46270771779655184,5.0,53.0,0.0
B,L,"[6, 4]",0.0,0.0,0.4179658889770508,1.8456931114196777,0.3250292050765451,5.0,54.0,0.0
B,L,"[6, 3]",0.0,0.0,0.5127849578857422,2.1596391201019287,0.551445255675791,5.0,55.0,0.0
B,L,"[6, 2]",-2.0,0.0,1.2421290874481201,2.9261090755462646,0.6437245939823935,5.0,56.0,0.0
B,L,"[6, 1]",0.0,0.0,0.21743297576904297,2.0085830688476562,0.7021871723048119,5.0,57.0,0.0
B,L,"[6, 2]",-3.0,0.0,0.28661203384399414,2.0365262031555176,0.6553765086297861,5.0,58.0,0.0
G,D,"[7, 2]",0.0,0.0,0.3392140865325928,1.8086040019989014,0.36425431859741725,5.0,59.0,0.0
B,L,"[7, 1]",0.0,0.0,0.27146196365356445,2.072746992111206,0.6867119433908893,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.36681199073791504,3.4386348724365234,0.47537766146388977,6.0,61.0,0.0
G,D,"[7, 5]",0.0,0.0,0.31143784523010254,2.056833028793335,0.6485507742108773,6.0,62.0,0.0
R,U,"[6, 5]",0.0,0.0,0.22774696350097656,1.6269550323486328,0.29226204840723063,6.0,63.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.2561979293823242,1.8215742111206055,0.4803330008549254,6.0,64.0,0.0
G,D,"[7, 6]",0.0,0.0,0.24068403244018555,2.0224099159240723,0.6696410150465288,6.0,65.0,0.0
G,D,"[8, 6]",0.0,0.0,0.34059786796569824,1.7757070064544678,0.3454283813505665,6.0,66.0,0.0
G,D,"[9, 6]",0.0,0.0,0.2623140811920166,1.6099770069122314,0.255141647029816,6.0,67.0,0.0
G,D,"[10, 6]",0.0,0.0,0.30957984924316406,2.0962841510772705,0.6842785420260563,6.0,68.0,0.0
G,D,"[11, 6]",0.0,0.0,0.17757916450500488,1.5515570640563965,0.2696901302559881,6.0,69.0,0.0
G,D,"[10, 6]",-3.0,0.0,0.2847919464111328,2.091804027557373,0.7109157463249126,6.0,70.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.24578094482421875,4.338874816894531,0.34995687334215175,7.0,71.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.2870180606842041,2.006031036376953,0.6225480249032784,7.0,72.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.18459606170654297,1.725172996520996,0.4475114455277543,7.0,73.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.26618003845214844,1.7614710330963135,0.39258472849734205,7.0,74.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.32687807083129883,1.7350029945373535,0.310938519483519,7.0,75.0,0.0
Y,R,"[6, 10]",-3.0,3.0,0.3372650146484375,2.006782054901123,0.5838639574155521,7.0,76.0,0.0
B,L,"[6, 9]",0.0,3.0,0.3237800598144531,2.0173330307006836,0.5845980699445408,7.0,77.0,0.0
Y,R,"[6, 10]",0.0,3.0,0.22198891639709473,1.7332229614257812,0.4011592277457749,7.0,78.0,0.0
R,U,"[5, 10]",1.0,4.0,0.23153090476989746,1.863765001296997,0.5313980049940277,7.0,79.0,0.0
R,U,"[4, 10]",1.0,5.0,0.2578248977661133,2.063758134841919,0.6951863006137976,7.0,80.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6701250076293945,8.173648118972778,0.5518728238440033,8.0,81.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2083749771118164,1.6210641860961914,0.306566486614251,8.0,82.0,0.0
R,U,"[3, 6]",0.0,1.0,0.325667142868042,1.7801361083984375,0.35308031106424015,8.0,83.0,0.0
R,U,"[2, 6]",0.0,1.0,0.21623587608337402,1.7050809860229492,0.39150729521469735,8.0,84.0,0.0
G,D,"[3, 6]",0.0,1.0,0.18928217887878418,1.537057876586914,0.26202309434939325,8.0,85.0,0.0
Y,R,"[3, 7]",0.0,1.0,0.2628140449523926,1.9200220108032227,0.5647805377894797,8.0,86.0,0.0
R,U,"[2, 7]",0.0,1.0,0.22726178169250488,1.9250619411468506,0.5898410128562176,8.0,87.0,0.0
B,L,"[2, 6]",0.0,1.0,0.2198629379272461,1.6993529796600342,0.389331860240502,8.0,88.0,0.0
R,U,"[1, 6]",0.0,1.0,0.23479580879211426,1.8034250736236572,0.4760451033672022,8.0,89.0,0.0
R,U,"[2, 6]",-3.0,1.0,0.31779909133911133,1.6848621368408203,0.2777124889153236,8.0,90.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.40534400939941406,3.66499400138855,0.45916857265006294,9.0,91.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.17180609703063965,1.913740873336792,0.6393575545762351,9.0,92.0,0.0
R,U,"[5, 6]",1.0,1.0,0.11229801177978516,1.6982789039611816,0.48759704202639337,9.0,93.0,0.0
R,U,"[4, 6]",0.0,1.0,0.22661089897155762,2.027574062347412,0.6981073218672995,9.0,94.0,0.0
G,D,"[5, 6]",-1.0,1.0,0.09782719612121582,5.794770956039429,0.5595546024489568,9.0,95.0,0.0
G,D,"[6, 6]",0.0,1.0,0.2423079013824463,2.0342650413513184,0.6936798676736466,9.0,96.0,0.0
G,D,"[7, 6]",0.0,1.0,0.19987201690673828,1.5695879459381104,0.2801772210150483,9.0,97.0,0.0
G,D,"[8, 6]",0.0,1.0,0.36749792098999023,1.7443301677703857,0.27448880534634634,9.0,98.0,0.0
G,D,"[9, 6]",0.0,1.0,0.14725708961486816,1.8256611824035645,0.5831371181222154,9.0,99.0,0.0
G,D,"[10, 6]",0.0,1.0,0.23095393180847168,2.0635769367218018,0.7300287372750591,9.0,100.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6851119995117188,4.848736047744751,0.6118311493193664,10.0,101.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2706642150878906,1.9769949913024902,0.6221114278467152,10.0,102.0,0.0
Y,R,"[4, 7]",0.0,1.0,0.2655608654022217,1.8844280242919922,0.5232088869496612,10.0,103.0,0.0
Y,R,"[4, 8]",0.0,1.0,0.2903258800506592,2.113661050796509,0.7199531917319948,10.0,104.0,0.0
R,U,"[3, 8]",0.0,1.0,0.2749600410461426,1.8120901584625244,0.4323609537993467,10.0,105.0,0.0
R,U,"[2, 8]",-2.0,1.0,1.0637907981872559,2.763530969619751,0.6621591527805641,10.0,106.0,0.0
R,U,"[1, 8]",0.0,1.0,0.4808330535888672,2.1870689392089844,0.5991408906803624,10.0,107.0,0.0
R,U,"[2, 8]",-3.0,1.0,0.2936708927154541,2.102120876312256,0.7012567875870463,10.0,108.0,0.0
Y,R,"[2, 9]",0.0,1.0,0.25942111015319824,1.9893689155578613,0.6238899249678118,10.0,109.0,0.0
R,U,"[1, 9]",0.0,1.0,0.24190402030944824,1.662247896194458,0.31986771187869656,10.0,110.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5116841793060303,3.5481510162353516,0.6508474311143893,11.0,111.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.21637892723083496,1.947577953338623,0.6317931429520536,11.0,112.0,0.0
R,U,"[4, 7]",0.0,2.0,0.2616739273071289,1.772576093673706,0.40438199348497855,11.0,113.0,0.0
R,U,"[3, 7]",0.0,2.0,0.4932432174682617,1.8695859909057617,0.27397990675208633,11.0,114.0,0.0
Y,R,"[3, 8]",0.0,2.0,0.26259303092956543,1.9742190837860107,0.614542032013315,11.0,115.0,0.0
B,L,"[3, 7]",0.0,2.0,0.27854490280151367,1.8764171600341797,0.49114425185660776,11.0,116.0,0.0
G,D,"[4, 7]",0.0,2.0,0.29593801498413086,1.832901954650879,0.4408289995518824,11.0,117.0,0.0
G,D,"[5, 7]",0.0,2.0,0.2695751190185547,1.6151549816131592,0.25586027479162626,11.0,118.0,0.0
G,D,"[6, 7]",0.0,2.0,0.31078100204467773,1.7214350700378418,0.3105353187763626,11.0,119.0,0.0
G,D,"[7, 7]",0.0,2.0,0.34209203720092773,1.760925054550171,0.3212833792025443,11.0,120.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.29370617866516113,3.5472469329833984,0.6682294000077044,12.0,121.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.17466211318969727,1.6953160762786865,0.41373951517320773,12.0,122.0,0.0
R,U,"[5, 6]",1.0,1.0,0.23169493675231934,1.8027360439300537,0.4664160599044479,12.0,123.0,0.0
R,U,"[4, 6]",0.0,1.0,0.23529386520385742,1.8199331760406494,0.48638402980417195,12.0,124.0,0.0
Y,R,"[4, 7]",0.0,1.0,0.22385501861572266,1.6431360244750977,0.31277974977574596,12.0,125.0,0.0
Y,R,"[4, 8]",0.0,1.0,0.3565359115600586,1.9116721153259277,0.44094877408064453,12.0,126.0,0.0
R,U,"[3, 8]",0.0,1.0,0.22060704231262207,1.571418046951294,0.26259823545784644,12.0,127.0,0.0
R,U,"[2, 8]",-2.0,1.0,1.3492431640625,2.757078170776367,0.3694973434416105,12.0,128.0,0.0
R,U,"[1, 8]",0.0,1.0,0.22124218940734863,1.6531460285186768,0.33943921788244885,12.0,129.0,0.0
R,U,"[2, 8]",-3.0,1.0,0.35709095001220703,2.052121162414551,0.5910728293910761,12.0,130.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.2807760238647461,3.111690044403076,0.4027497851514617,13.0,131.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.22431492805480957,1.7116949558258057,0.381002621618942,13.0,132.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.30066990852355957,2.1388580799102783,0.7361324967348974,13.0,133.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.29624414443969727,1.673166036605835,0.2762460836841165,13.0,134.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.15273284912109375,1.8771448135375977,0.6364813622540908,13.0,135.0,0.0
Y,R,"[6, 10]",-3.0,3.0,0.20301604270935059,1.8594119548797607,0.5624598421017828,13.0,136.0,0.0
R,U,"[5, 10]",1.0,4.0,0.5076038837432861,2.324936866760254,0.7041200619742709,13.0,137.0,0.0
R,U,"[4, 10]",1.0,5.0,0.233720064163208,1.6588380336761475,0.32986131823340464,13.0,138.0,0.0
R,U,"[3, 10]",0.0,5.0,0.30027198791503906,1.967184066772461,0.5635480770200649,13.0,139.0,0.0
R,U,"[2, 10]",0.0,5.0,0.2935469150543213,1.964001178741455,0.5605205692750501,13.0,140.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.42435407638549805,3.420701026916504,0.31475184949168233,14.0,141.0,0.0
R,U,"[4, 6]",-1.0,1.0,0.05034804344177246,5.641909122467041,0.4563569970747556,14.0,142.0,0.0
R,U,"[3, 6]",0.0,1.0,0.2377011775970459,1.9573919773101807,0.6135831442644176,14.0,143.0,0.0
R,U,"[2, 6]",0.0,1.0,0.19026494026184082,1.5869030952453613,0.28403591802640377,14.0,144.0,0.0
R,U,"[1, 6]",0.0,1.0,0.40160608291625977,1.8603320121765137,0.36088302742896006,14.0,145.0,0.0
R,U,"[2, 6]",-3.0,1.0,0.36154794692993164,2.19781494140625,0.741586235789458,14.0,146.0,0.0
Y,R,"[2, 7]",0.0,1.0,0.29967188835144043,2.014930009841919,0.623263093297864,14.0,147.0,0.0
R,U,"[1, 7]",0.0,1.0,0.1238710880279541,1.5065891742706299,0.2800489438137071,14.0,148.0,0.0
