button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",-2.0,0.0,1.1207518577575684,2.783133029937744,0.6837930856948793,0.0,1.0,0.0
B,L,"[6, 6]",-2.0,0.0,1.6324031352996826,3.0951199531555176,0.49595973543010874,0.0,2.0,0.0
G,D,"[7, 6]",-2.0,0.0,3.693516969680786,5.291362047195435,0.6203143766666142,0.0,3.0,0.0
R,U,"[6, 6]",-2.0,0.0,7.255068778991699,8.466783046722412,0.2529920473504819,0.0,4.0,0.0
R,U,"[5, 6]",-2.0,0.0,13.318696975708008,14.823123216629028,0.5407722890292295,0.0,5.0,0.0
Y,R,"[5, 7]",-2.0,0.0,4.79806113243103,6.067248106002808,0.30756296109895237,0.0,6.0,0.0
B,L,"[5, 6]",0.0,0.0,0.6627860069274902,2.390247106552124,0.7304365733324343,0.0,7.0,0.0
G,D,"[6, 6]",0.0,0.0,0.558927059173584,1.9998459815979004,0.4303238692362975,0.0,8.0,0.0
R,U,"[5, 6]",0.0,0.0,0.2622358798980713,1.6959519386291504,0.42614119182871657,0.0,9.0,0.0
G,D,"[6, 6]",0.0,0.0,0.43137097358703613,1.8114678859710693,0.387391769849574,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.828416109085083,5.864284992218018,0.40105325314421986,1.0,11.0,0.0
G,D,"[7, 5]",0.0,0.0,0.19289708137512207,1.6255769729614258,0.42644662415034723,1.0,12.0,0.0
R,U,"[6, 5]",0.0,0.0,0.15118193626403809,1.5924739837646484,0.45206029689817195,1.0,13.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.16321611404418945,1.5154659748077393,0.350788830653718,1.0,14.0,0.0
B,L,"[6, 5]",0.0,0.0,0.2071058750152588,1.5174438953399658,0.30141284496261994,1.0,15.0,0.0
G,D,"[7, 5]",-1.0,0.0,0.06328320503234863,5.4224841594696045,0.2900387960905619,1.0,16.0,0.0
G,D,"[8, 5]",0.0,0.0,0.3344759941101074,1.9529850482940674,0.6258940936223767,1.0,17.0,0.0
R,U,"[7, 5]",0.0,0.0,0.403148889541626,2.0881459712982178,0.6969879871708171,1.0,18.0,0.0
R,U,"[6, 5]",0.0,0.0,0.38421177864074707,2.061516046524048,0.6754635198267027,1.0,19.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.25022101402282715,1.6600699424743652,0.41842830737697584,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",-2.0,0.0,1.1126289367675781,10.985785961151123,0.2700099298675348,2.0,21.0,0.0
G,D,"[8, 6]",0.0,0.0,0.4950370788574219,1.8589081764221191,0.36200726776109415,2.0,22.0,0.0
G,D,"[9, 6]",0.0,0.0,0.26319313049316406,1.8604910373687744,0.6054512191335129,2.0,23.0,0.0
G,D,"[10, 6]",0.0,0.0,0.141920804977417,1.8128490447998047,0.6680651255365179,2.0,24.0,0.0
B,L,"[10, 5]",0.0,0.0,0.16170692443847656,1.487746000289917,0.32266311690728405,2.0,25.0,0.0
R,U,"[9, 5]",0.0,0.0,0.30237603187561035,1.96366286277771,0.6691547642996705,2.0,26.0,0.0
Y,R,"[9, 6]",0.0,0.0,0.16261696815490723,1.4429519176483154,0.27898215053884096,2.0,27.0,0.0
B,L,"[9, 5]",0.0,0.0,0.2256770133972168,1.9596128463745117,0.7212655874875966,2.0,28.0,0.0
G,D,"[10, 5]",0.0,0.0,0.1341838836669922,1.6703829765319824,0.5417726105133264,2.0,29.0,0.0
R,U,"[9, 5]",-1.0,0.0,0.0022199153900146484,5.767462968826294,0.7084735964777109,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.029109001159668,4.59824800491333,0.356639245830956,3.0,31.0,0.0
G,D,"[6, 6]",0.0,0.0,0.20419812202453613,1.511795997619629,0.318452813509546,3.0,32.0,0.0
B,L,"[6, 5]",0.0,0.0,0.13347482681274414,1.7208130359649658,0.5887444801204015,3.0,33.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.145859956741333,1.801367998123169,0.6566405143255991,3.0,34.0,0.0
Y,R,"[6, 7]",0.0,0.0,0.41539812088012695,1.9566800594329834,0.5466552251323058,3.0,35.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.179426908493042,1.8778479099273682,0.6908334798701125,3.0,36.0,0.0
B,L,"[6, 7]",0.0,1.0,0.1974778175354004,1.5303568840026855,0.3380546325799386,3.0,37.0,0.0
Y,R,"[6, 8]",0.0,1.0,0.3181600570678711,1.5713779926300049,0.2593645221856435,3.0,38.0,0.0
G,D,"[7, 8]",0.0,1.0,0.3334941864013672,1.6274240016937256,0.30327306257435976,3.0,39.0,0.0
R,U,"[6, 8]",0.0,1.0,0.256134033203125,1.6280460357666016,0.36444447458211887,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.5139060020446777,5.166455030441284,0.5136619023967423,4.0,41.0,0.0
G,D,"[6, 6]",0.0,0.0,0.2590758800506592,1.9499359130859375,0.6799765455818506,4.0,42.0,0.0
B,L,"[6, 5]",0.0,0.0,0.18701601028442383,1.8112609386444092,0.6245207669824735,4.0,43.0,0.0
G,D,"[7, 5]",0.0,0.0,0.1799910068511963,1.8898768424987793,0.7141387717403775,4.0,44.0,0.0
R,U,"[6, 5]",0.0,0.0,0.16599583625793457,1.846235990524292,0.6769297714619497,4.0,45.0,0.0
Y,R,"[6, 6]",-1.0,0.0,0.061309099197387695,5.79113507270813,0.6675842107570583,4.0,46.0,0.0
Y,R,"[6, 7]",0.0,0.0,0.2805979251861572,1.8755061626434326,0.5930396914156657,4.0,47.0,0.0
B,L,"[6, 6]",0.0,0.0,0.255979061126709,1.848741054534912,0.5920655374976486,4.0,48.0,0.0
G,D,"[7, 6]",0.0,0.0,0.1401500701904297,1.8495469093322754,0.7077077115730935,4.0,49.0,0.0
R,U,"[6, 6]",0.0,0.0,0.17993998527526855,1.4494988918304443,0.27402831726333315,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.5335359573364258,3.9420359134674072,0.4656442397344015,5.0,51.0,0.0
R,U,"[6, 6]",0.0,0.0,0.30251193046569824,1.7221829891204834,0.42106824675937743,5.0,52.0,0.0
B,L,"[6, 5]",0.0,0.0,0.3752439022064209,1.9554569721221924,0.5761422518141628,5.0,53.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.23024487495422363,1.8537960052490234,0.6302365804271901,5.0,54.0,0.0
