button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
B,L,"[6, 5]",0.0,0.0,0.7872240543365479,2.309746026992798,0.5104933069062785,0.0,1.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.5007500648498535,1.9022529125213623,0.412854907110795,0.0,2.0,0.0
G,D,"[7, 6]",0.0,0.0,0.3126358985900879,1.969296932220459,0.6485840995899919,0.0,3.0,0.0
R,U,"[6, 6]",0.0,0.0,0.22908306121826172,1.7533011436462402,0.5186139589393954,0.0,4.0,0.0
R,U,"[5, 6]",1.0,1.0,0.4161081314086914,1.9961280822753906,0.5650948436558485,0.0,5.0,0.0
G,D,"[6, 6]",0.0,1.0,0.33515405654907227,2.0652201175689697,0.7134231763321477,0.0,6.0,0.0
B,L,"[6, 5]",0.0,1.0,0.42962193489074707,1.7527570724487305,0.31634042246341115,0.0,7.0,0.0
R,U,"[5, 5]",0.0,1.0,0.3946349620819092,1.9433259963989258,0.5429710985775853,0.0,8.0,0.0
Y,R,"[5, 6]",0.0,1.0,0.6873271465301514,1.9993510246276855,0.3091334024050545,0.0,9.0,0.0
R,U,"[4, 6]",0.0,1.0,0.2583489418029785,1.8169951438903809,0.5591314969468524,0.0,10.0,0.0
,,"(6, 6)",,,,,,0.0,,
R,U,"[5, 6]",1.0,1.0,0.36853599548339844,9.239698886871338,0.43253414172077104,,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.38209009170532227,1.9129469394683838,0.5122536467412129,1.0,12.0,0.0
G,D,"[6, 7]",0.0,2.0,0.29813599586486816,2.0089118480682373,0.7208366096150984,1.0,13.0,0.0
G,D,"[7, 7]",0.0,2.0,0.41860008239746094,1.9073898792266846,0.4953742417126246,1.0,14.0,0.0
G,D,"[8, 7]",0.0,2.0,0.3368539810180664,1.599762201309204,0.26207168226595806,1.0,15.0,0.0
B,L,"[8, 6]",0.0,2.0,0.43366289138793945,1.7526240348815918,0.331311395062396,1.0,16.0,0.0
Y,R,"[8, 7]",0.0,2.0,0.2310941219329834,1.5184760093688965,0.28309142918708047,1.0,17.0,0.0
R,U,"[7, 7]",0.0,2.0,0.3007969856262207,1.7378699779510498,0.4374019589066852,1.0,18.0,0.0
G,D,"[8, 7]",0.0,2.0,0.37372303009033203,1.9347021579742432,0.5555949165572394,1.0,19.0,0.0
B,L,"[8, 6]",0.0,2.0,0.314769983291626,1.7053580284118652,0.39451985319816124,1.0,20.0,0.0
,,"(6, 6)",,,,,,1.0,,
R,U,"[5, 6]",1.0,1.0,0.35935115814208984,3.7318642139434814,0.3262180347035379,,21.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2186598777770996,1.665619134902954,0.44195264491197683,2.0,22.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2065129280090332,1.576404094696045,0.3683050704133883,2.0,23.0,0.0
Y,R,"[5, 9]",0.0,3.0,0.5048651695251465,1.8611650466918945,0.3462025297470305,2.0,24.0,0.0
G,D,"[6, 9]",1.0,4.0,0.39327096939086914,1.9710791110992432,0.5671353093611902,2.0,25.0,0.0
R,U,"[5, 9]",0.0,4.0,0.48370814323425293,2.1521759033203125,0.6693945523861737,2.0,26.0,0.0
B,L,"[5, 8]",0.0,4.0,0.4037330150604248,1.7081429958343506,0.2944873399086387,2.0,27.0,0.0
B,L,"[5, 7]",0.0,4.0,0.48590087890625,1.9668800830841064,0.49442886013785103,2.0,28.0,0.0
Y,R,"[5, 8]",0.0,4.0,0.23123693466186523,1.5079472064971924,0.2860526978769532,2.0,29.0,0.0
G,D,"[6, 8]",1.0,5.0,0.4736440181732178,2.199294090270996,0.7181894879537747,2.0,30.0,0.0
,,"(6, 6)",,,,,,2.0,,
R,U,"[5, 6]",1.0,1.0,0.2659938335418701,5.632646083831787,0.6345611420208523,,31.0,0.0
