button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",1.0,1.0,0.7816669940948486,2.506294012069702,0.7068687873097961,0.0,1.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.20529985427856445,1.9573779106140137,0.7475137651823567,0.0,2.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.18958377838134766,1.9210009574890137,0.71847738762254,0.0,3.0,0.0
G,D,"[6, 8]",1.0,4.0,0.2398068904876709,1.7855088710784912,0.5374870937437404,0.0,4.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.24541401863098145,1.5193960666656494,0.27381595528427927,0.0,5.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.38871192932128906,1.720789909362793,0.32783737681996317,0.0,6.0,0.0
R,U,"[5, 10]",1.0,7.0,0.3592660427093506,1.863105058670044,0.507358576798812,0.0,7.0,0.0
R,U,"[4, 10]",1.0,8.0,0.2793619632720947,1.6993370056152344,0.42342954939142546,0.0,8.0,0.0
B,L,"[4, 9]",1.0,9.0,0.23433279991149902,1.8450918197631836,0.6183465938578827,0.0,9.0,0.0
R,U,"[3, 9]",1.0,10.0,0.12934613227844238,1.5501480102539062,0.41849114226486095,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7019221782684326,6.378338813781738,0.6137426864702529,1.0,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.19397687911987305,1.9206008911132812,0.7170743104452186,1.0,12.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.23224115371704102,1.6877689361572266,0.4550565457934312,1.0,13.0,0.0
G,D,"[6, 8]",1.0,4.0,0.3589198589324951,1.9072201251983643,0.5454955898260689,1.0,14.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.23733806610107422,1.7884490489959717,0.5507449556163687,1.0,15.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.2209479808807373,1.8034510612487793,0.5872980634992031,1.0,16.0,0.0
G,D,"[7, 10]",0.0,6.0,0.30091190338134766,1.83565092086792,0.5394792507143252,1.0,17.0,0.0
R,U,"[6, 10]",0.0,6.0,0.24849987030029297,1.7866899967193604,0.5429465930944252,1.0,18.0,0.0
B,L,"[6, 9]",0.0,6.0,0.24621796607971191,1.952867031097412,0.712157305429572,1.0,19.0,0.0
R,U,"[5, 9]",0.0,6.0,0.23352599143981934,1.6113829612731934,0.3738683768303971,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.62965989112854,7.8635571002960205,0.37063499780293196,2.0,21.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2507619857788086,1.6667780876159668,0.42063955708415973,2.0,22.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2399580478668213,1.984976053237915,0.7388420725364782,2.0,23.0,0.0
G,D,"[6, 8]",1.0,4.0,0.17472100257873535,1.6405911445617676,0.4627923503017017,2.0,24.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.20970797538757324,1.6830079555511475,0.4624533166303855,2.0,25.0,0.0
