button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",1.0,1.0,0.9008471965789795,2.568281888961792,0.5689486323303328,0.0,1.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.31041693687438965,2.1018130779266357,0.687285532728518,0.0,2.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2056260108947754,1.551997184753418,0.2563696634436985,0.0,3.0,0.0
G,D,"[6, 8]",1.0,4.0,0.21584200859069824,1.5676109790802002,0.25722813719412413,0.0,4.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.5472209453582764,2.383044958114624,0.7398036034604756,0.0,5.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.20465898513793945,1.936126947402954,0.6424948439779445,0.0,6.0,0.0
R,U,"[5, 10]",1.0,7.0,0.2172250747680664,1.9357941150665283,0.6281990757001279,0.0,7.0,0.0
R,U,"[4, 10]",1.0,8.0,0.23885393142700195,2.02709698677063,0.7052841280269051,0.0,8.0,0.0
B,L,"[4, 9]",1.0,9.0,0.2036128044128418,1.6876168251037598,0.39305202911087295,0.0,9.0,0.0
R,U,"[3, 9]",1.0,10.0,0.31655001640319824,1.9483320713043213,0.5413153872423422,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.6212410926818848,3.343646764755249,0.4515543604054807,1.0,11.0,0.0
B,L,"[7, 5]",0.0,0.0,0.2160811424255371,1.77970290184021,0.4644315557784628,1.0,12.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.27477502822875977,1.7734119892120361,0.3879089127540266,1.0,13.0,0.0
R,U,"[6, 6]",0.0,0.0,0.9458599090576172,2.391108989715576,0.34562530918168255,1.0,14.0,0.0
G,D,"[7, 6]",0.0,0.0,0.17265892028808594,1.9346458911895752,0.6798584862709562,1.0,15.0,0.0
B,L,"[7, 5]",0.0,0.0,0.22272396087646484,1.695322036743164,0.3754036719254672,1.0,16.0,0.0
B,L,"[7, 4]",0.0,0.0,0.5773708820343018,2.1265740394592285,0.45196774729998845,1.0,17.0,0.0
R,U,"[6, 4]",0.0,0.0,0.30287694931030273,1.9974100589752197,0.5991236845411818,1.0,18.0,0.0
R,U,"[5, 4]",0.0,0.0,0.18107104301452637,1.615783929824829,0.33183096998733375,1.0,19.0,0.0
R,U,"[4, 4]",0.0,0.0,0.23716187477111816,2.0326879024505615,0.697421662939,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.8215579986572266,3.498100996017456,0.52888917448042,2.0,21.0,0.0
B,L,"[7, 5]",0.0,0.0,0.11943507194519043,1.6518900394439697,0.44728730041382514,2.0,22.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.21368885040283203,1.8552680015563965,0.5358820538079899,2.0,23.0,0.0
B,L,"[7, 5]",-1.0,0.0,0.08382701873779297,5.864567041397095,0.6334069776611585,2.0,24.0,0.0
B,L,"[7, 4]",0.0,0.0,0.22792387008666992,1.6922221183776855,0.3591851067930543,2.0,25.0,0.0
Y,R,"[7, 5]",0.0,0.0,0.2295839786529541,1.9642908573150635,0.6398919102893386,2.0,26.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.18288493156433105,1.5476348400115967,0.2711312474653981,2.0,27.0,0.0
R,U,"[6, 6]",0.0,0.0,0.273608922958374,1.6334338188171387,0.2544430365064808,2.0,28.0,0.0
R,U,"[5, 6]",1.0,1.0,0.2641448974609375,1.6441590785980225,0.28189056833289994,2.0,29.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.5785739421844482,2.3780810832977295,0.6928385276638028,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.1725380420684814,5.9866251945495605,0.6464964542055935,3.0,31.0,0.0
R,U,"[4, 6]",0.0,0.0,0.2537100315093994,1.8497991561889648,0.479204870668042,3.0,32.0,0.0
Y,R,"[4, 7]",0.0,0.0,0.8280980587005615,2.270228862762451,0.33293803162445607,3.0,33.0,0.0
Y,R,"[4, 8]",0.0,0.0,0.26502418518066406,1.6411240100860596,0.27394784302300024,3.0,34.0,0.0
Y,R,"[4, 9]",1.0,1.0,0.26262998580932617,1.7020139694213867,0.34262206864648204,3.0,35.0,0.0
Y,R,"[4, 10]",1.0,2.0,0.20857882499694824,1.665153980255127,0.35760414454058503,3.0,36.0,0.0
R,U,"[3, 10]",0.0,2.0,0.19984912872314453,1.9450938701629639,0.6523304468042599,3.0,37.0,0.0
Y,R,"[3, 11]",0.0,2.0,0.28209400177001953,1.844209909439087,0.4634081735837558,3.0,38.0,0.0
B,L,"[3, 10]",0.0,2.0,0.219818115234375,1.844048023223877,0.5241143772565338,3.0,39.0,0.0
R,U,"[2, 10]",0.0,2.0,0.13046813011169434,1.6367881298065186,0.4109989158652852,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.38496899604797363,3.1496951580047607,0.4103470561656665,4.0,41.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2000579833984375,1.5850701332092285,0.29551284648752635,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.18879389762878418,1.542375087738037,0.27124799455580567,4.0,43.0,0.0
G,D,"[6, 8]",1.0,4.0,0.19633984565734863,1.7378900051116943,0.44227254831203466,4.0,44.0,0.0
G,D,"[7, 8]",0.0,4.0,0.13249588012695312,1.6420509815216064,0.41748796157557644,4.0,45.0,0.0
Y,R,"[7, 9]",0.0,4.0,0.266326904296875,1.6165268421173096,0.2508054150323156,4.0,46.0,0.0
R,U,"[6, 9]",1.0,5.0,0.27872300148010254,1.9323420524597168,0.5495725649271251,4.0,47.0,0.0
R,U,"[5, 9]",0.0,5.0,0.20754384994506836,1.6152920722961426,0.2984144252005198,4.0,48.0,0.0
B,L,"[5, 8]",0.0,5.0,0.2486250400543213,1.8147270679473877,0.4627987714666681,4.0,49.0,0.0
R,U,"[4, 8]",0.0,5.0,0.22089600563049316,1.7616510391235352,0.44116610513067983,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5150120258331299,2.9600019454956055,0.26780306764754946,5.0,51.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2861330509185791,1.8741199970245361,0.4917661441519678,5.0,52.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.23970699310302734,1.6277871131896973,0.30295301759321047,5.0,53.0,0.0
G,D,"[6, 8]",1.0,4.0,0.24120306968688965,1.8716599941253662,0.5244121651976874,5.0,54.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.20236682891845703,1.9358930587768555,0.6433177437144253,5.0,55.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.18650007247924805,1.7033920288085938,0.43031289803328926,5.0,56.0,0.0
R,U,"[5, 10]",1.0,7.0,0.17024993896484375,1.795097827911377,0.525155536149361,5.0,57.0,0.0
R,U,"[4, 10]",1.0,8.0,0.1809978485107422,1.8725950717926025,0.5976094511599026,5.0,58.0,0.0
B,L,"[4, 9]",1.0,9.0,0.1785569190979004,1.8799381256103516,0.5942976908568812,5.0,59.0,0.0
R,U,"[3, 9]",1.0,10.0,0.2158970832824707,1.8172061443328857,0.5114017643615245,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.8015480041503906,3.533911943435669,0.42858485214349396,6.0,61.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2279050350189209,1.9628229141235352,0.6411096136361354,6.0,62.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.17210102081298828,1.5589630603790283,0.3002569204454828,6.0,63.0,0.0
G,D,"[6, 8]",1.0,4.0,0.3474559783935547,2.128852128982544,0.6787649012704564,6.0,64.0,0.0
Y,R,"[6, 9]",-1.0,4.0,0.08186006546020508,5.574010133743286,0.3695430901488693,6.0,65.0,0.0
Y,R,"[6, 10]",1.0,5.0,0.2773430347442627,1.6974480152130127,0.3171271671117133,6.0,66.0,0.0
R,U,"[5, 10]",1.0,6.0,0.2153151035308838,1.8727130889892578,0.5562350598384425,6.0,67.0,0.0
R,U,"[4, 10]",1.0,7.0,0.1936049461364746,1.812532901763916,0.5186390630337974,6.0,68.0,0.0
B,L,"[4, 9]",1.0,8.0,0.22889208793640137,1.894662857055664,0.5632841177525711,6.0,69.0,0.0
R,U,"[3, 9]",1.0,9.0,0.1968700885772705,1.8793079853057861,0.5758222382280151,6.0,70.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.3749539852142334,2.465378999710083,0.4911311731655988,7.0,71.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.1894550323486328,1.6657190322875977,0.37353103700751294,7.0,72.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.13792991638183594,1.780609130859375,0.5373729200637991,7.0,73.0,0.0
G,D,"[6, 8]",1.0,4.0,0.19416403770446777,1.8770620822906494,0.580887648073297,7.0,74.0,0.0
Y,R,"[6, 9]",-1.0,4.0,0.09313607215881348,5.612982988357544,0.37728518457047855,7.0,75.0,0.0
Y,R,"[6, 10]",1.0,5.0,0.25397515296936035,1.9089360237121582,0.5525544241013756,7.0,76.0,0.0
R,U,"[5, 10]",-1.0,5.0,0.024811983108520508,5.614559888839722,0.46704627340543065,7.0,77.0,0.0
R,U,"[4, 10]",1.0,6.0,0.3835310935974121,1.8692009449005127,0.386371944918499,7.0,78.0,0.0
B,L,"[4, 9]",1.0,7.0,0.22286391258239746,1.951672077178955,0.6375062945755907,7.0,79.0,0.0
R,U,"[3, 9]",1.0,8.0,0.22007012367248535,2.04632306098938,0.733808121630614,7.0,80.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.4766390323638916,2.4681968688964844,0.5188902426719088,8.0,81.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.20920085906982422,1.6552989482879639,0.3409580917706368,8.0,82.0,0.0
