button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",0.0,0.0,0.8719909191131592,2.6984899044036865,0.7324338819545078,0.0,1.0,0.0
R,U,"[5, 7]",1.0,1.0,0.4568450450897217,1.9226129055023193,0.3555501680545518,0.0,2.0,0.0
B,L,"[5, 6]",1.0,2.0,0.39624714851379395,2.2413442134857178,0.7465075525781948,0.0,3.0,0.0
G,D,"[6, 6]",0.0,2.0,0.2964439392089844,1.6910030841827393,0.2880109732027476,0.0,4.0,0.0
B,L,"[6, 5]",0.0,2.0,0.24894118309020996,1.8061699867248535,0.46070547936124207,0.0,5.0,0.0
Y,R,"[6, 6]",0.0,2.0,0.22904491424560547,2.0615971088409424,0.7386956803639785,0.0,6.0,0.0
R,U,"[5, 6]",0.0,2.0,0.25357913970947266,1.717177152633667,0.37298172685177755,0.0,7.0,0.0
B,L,"[5, 5]",0.0,2.0,0.20687222480773926,1.921678066253662,0.6112365076897848,0.0,8.0,0.0
G,D,"[6, 5]",0.0,2.0,0.24148201942443848,1.801138162612915,0.4624895466795824,0.0,9.0,0.0
R,U,"[5, 5]",0.0,2.0,0.29931092262268066,1.9365789890289307,0.5490860886251021,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6121349334716797,3.7776801586151123,0.3936626486702589,1.0,11.0,0.0
R,U,"[4, 6]",0.0,1.0,0.3880939483642578,1.999445915222168,0.4928972849491237,1.0,12.0,0.0
Y,R,"[4, 7]",0.0,1.0,0.5218830108642578,2.105531930923462,0.481951141580674,1.0,13.0,0.0
G,D,"[5, 7]",1.0,2.0,0.24328899383544922,1.8724210262298584,0.5210433143193336,1.0,14.0,0.0
G,D,"[6, 7]",0.0,2.0,0.1743638515472412,1.9724419116973877,0.6932479525624,1.0,15.0,0.0
B,L,"[6, 6]",0.0,2.0,0.20417213439941406,1.5635638236999512,0.27387644804601446,1.0,16.0,0.0
R,U,"[5, 6]",0.0,2.0,0.36063694953918457,1.8637809753417969,0.40429229883688506,1.0,17.0,0.0
Y,R,"[5, 7]",0.0,2.0,0.21604609489440918,1.8647840023040771,0.5522005427757994,1.0,18.0,0.0
G,D,"[6, 7]",0.0,2.0,0.17736506462097168,1.554513931274414,0.2736872080791475,1.0,19.0,0.0
B,L,"[6, 6]",0.0,2.0,0.28339600563049316,1.8858120441436768,0.5093865873069554,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.4428229331970215,3.6981570720672607,0.6408190343391004,2.0,21.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.37931299209594727,1.7469141483306885,0.2716436885314412,2.0,22.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.4355740547180176,1.8073551654815674,0.2789495866078363,2.0,23.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.4023091793060303,2.191075086593628,0.7028934151916876,2.0,24.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.21583104133605957,1.690432071685791,0.3769282559724961,2.0,25.0,0.0
R,U,"[5, 11]",0.0,3.0,0.23208999633789062,1.7934339046478271,0.4704381541882781,2.0,26.0,0.0
B,L,"[5, 10]",1.0,4.0,0.16488194465637207,1.7958440780639648,0.5330596605172686,2.0,27.0,0.0
B,L,"[5, 9]",0.0,4.0,0.47339892387390137,2.0017249584198,0.4181307356476811,2.0,28.0,0.0
G,D,"[6, 9]",0.0,4.0,0.31249189376831055,2.043142080307007,0.6278627923358966,2.0,29.0,0.0
B,L,"[6, 8]",0.0,4.0,0.31246495246887207,2.1065759658813477,0.7009069808617672,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5024771690368652,3.4542999267578125,0.35571443747610204,3.0,31.0,0.0
R,U,"[4, 6]",0.0,1.0,0.36251282691955566,1.9187629222869873,0.4578113458226835,3.0,32.0,0.0
Y,R,"[4, 7]",0.0,1.0,0.19127297401428223,1.852311134338379,0.5601512008614213,3.0,33.0,0.0
G,D,"[5, 7]",1.0,2.0,0.1061239242553711,1.6369881629943848,0.43049516668325005,3.0,34.0,0.0
B,L,"[5, 6]",0.0,2.0,0.2742280960083008,2.005463123321533,0.6190898580873136,3.0,35.0,0.0
G,D,"[6, 6]",0.0,2.0,0.20825695991516113,1.8393011093139648,0.525207526046322,3.0,36.0,0.0
R,U,"[5, 6]",0.0,2.0,0.3458418846130371,1.9158661365509033,0.4747011933631376,3.0,37.0,0.0
Y,R,"[5, 7]",0.0,2.0,0.2822239398956299,1.8425450325012207,0.46715610064892105,3.0,38.0,0.0
B,L,"[5, 6]",0.0,2.0,0.19943904876708984,2.039168119430542,0.7394496545898356,3.0,39.0,0.0
G,D,"[6, 6]",0.0,2.0,0.2540161609649658,1.6571519374847412,0.2970433913241628,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.0642309188842773,5.202638864517212,0.5997158564885354,4.0,41.0,0.0
Y,R,"[5, 7]",1.0,1.0,0.606086015701294,2.1360888481140137,0.40207217038117543,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,2.0,0.28632402420043945,1.6871459484100342,0.3065960683971838,4.0,43.0,0.0
Y,R,"[5, 9]",0.0,2.0,0.4018540382385254,2.1269371509552,0.6332104566292323,4.0,44.0,0.0
G,D,"[6, 9]",1.0,3.0,0.22674918174743652,1.6070210933685303,0.2738934053920231,4.0,45.0,0.0
B,L,"[6, 8]",1.0,4.0,0.43686985969543457,2.1287169456481934,0.6023182855302068,4.0,46.0,0.0
G,D,"[7, 8]",0.0,4.0,0.36661505699157715,1.8651149272918701,0.40099872881515364,4.0,47.0,0.0
B,L,"[7, 7]",0.0,4.0,0.25310492515563965,1.935615062713623,0.5865452509840545,4.0,48.0,0.0
R,U,"[6, 7]",0.0,4.0,0.605180025100708,2.274932861328125,0.5614996217540869,4.0,49.0,0.0
Y,R,"[6, 8]",0.0,4.0,0.21619200706481934,1.6732289791107178,0.3682993358910363,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.6889808177947998,6.869507074356079,0.4711875603677711,5.0,51.0,0.0
R,U,"[5, 7]",1.0,1.0,0.20754194259643555,1.6979219913482666,0.38583328159024005,5.0,52.0,0.0
Y,R,"[5, 8]",1.0,2.0,0.2482588291168213,1.8759288787841797,0.5284905981685073,5.0,53.0,0.0
Y,R,"[5, 9]",0.0,2.0,0.2838709354400635,1.8855230808258057,0.5140488975480023,5.0,54.0,0.0
G,D,"[6, 9]",1.0,3.0,0.22293496131896973,2.0412309169769287,0.7049390782070096,5.0,55.0,0.0
B,L,"[6, 8]",1.0,4.0,0.2885560989379883,1.9665710926055908,0.5885091106859923,5.0,56.0,0.0
G,D,"[7, 8]",0.0,4.0,0.3318808078765869,1.7479610443115234,0.3200126044103903,5.0,57.0,0.0
Y,R,"[7, 9]",0.0,4.0,0.2961859703063965,1.7902209758758545,0.3935638913028142,5.0,58.0,0.0
R,U,"[6, 9]",0.0,4.0,0.212083101272583,1.5741851329803467,0.2678243894696984,5.0,59.0,0.0
B,L,"[6, 8]",0.0,4.0,0.28926587104797363,2.0514490604400635,0.6523410476714371,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.3520209789276123,5.450530052185059,0.5364748053981118,6.0,61.0,0.0
R,U,"[4, 6]",0.0,0.0,0.4336230754852295,2.2505362033843994,0.7202193482488675,6.0,62.0,0.0
Y,R,"[4, 7]",0.0,0.0,0.17671489715576172,1.6416258811950684,0.36225346385804996,6.0,63.0,0.0
G,D,"[5, 7]",1.0,1.0,0.21577692031860352,1.6194350719451904,0.3151136298212058,6.0,64.0,0.0
B,L,"[5, 6]",0.0,1.0,0.2262871265411377,1.71822190284729,0.38338443397743116,6.0,65.0,0.0
G,D,"[6, 6]",0.0,1.0,0.26508402824401855,1.7833409309387207,0.41667606089995834,6.0,66.0,0.0
B,L,"[6, 5]",0.0,1.0,0.2104189395904541,1.823011875152588,0.5062839861160087,6.0,67.0,0.0
Y,R,"[6, 6]",0.0,1.0,0.7248539924621582,2.492460012435913,0.6653902102026924,6.0,68.0,0.0
R,U,"[5, 6]",0.0,1.0,0.16774892807006836,1.5589261054992676,0.2913433856407577,6.0,69.0,0.0
R,U,"[4, 6]",0.0,1.0,0.500809907913208,1.9471409320831299,0.3549886743958499,6.0,70.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7223670482635498,8.52529501914978,0.3807303304534277,7.0,71.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2788279056549072,2.1153829097747803,0.7293826345390382,7.0,72.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2114238739013672,1.7336127758026123,0.41282444483911346,7.0,73.0,0.0
G,D,"[6, 8]",1.0,4.0,0.322206974029541,1.7042529582977295,0.2673575776422679,7.0,74.0,0.0
B,L,"[6, 7]",0.0,4.0,0.41895103454589844,2.1126770973205566,0.5964099622872898,7.0,75.0,0.0
G,D,"[7, 7]",0.0,4.0,0.19048404693603516,1.727524995803833,0.42410260794942767,7.0,76.0,0.0
Y,R,"[7, 8]",0.0,4.0,0.19585585594177246,1.755687952041626,0.4631882889483838,7.0,77.0,0.0
R,U,"[6, 8]",0.0,4.0,0.143280029296875,1.7902510166168213,0.5363509808996265,7.0,78.0,0.0
R,U,"[5, 8]",0.0,4.0,0.21192288398742676,1.9439630508422852,0.6307076241104754,7.0,79.0,0.0
Y,R,"[5, 9]",-2.0,4.0,1.211143970489502,2.6545510292053223,0.4021502651138532,7.0,80.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6567099094390869,5.7067930698394775,0.2592588356031869,8.0,81.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.45840001106262207,2.0971720218658447,0.5395144110249592,8.0,82.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.24567008018493652,2.000898838043213,0.6569471485091272,8.0,83.0,0.0
Y,R,"[5, 9]",0.0,3.0,0.3387138843536377,2.147505044937134,0.7044503684366489,8.0,84.0,0.0
G,D,"[6, 9]",1.0,4.0,0.24782204627990723,1.6152238845825195,0.2701672589534531,8.0,85.0,0.0
B,L,"[6, 8]",1.0,5.0,0.3715360164642334,1.8830840587615967,0.4031506996388119,8.0,86.0,0.0
G,D,"[7, 8]",0.0,5.0,0.27190589904785156,2.1035659313201904,0.739902638172456,8.0,87.0,0.0
R,U,"[6, 8]",0.0,5.0,0.1699509620666504,1.884047031402588,0.6239298365284422,8.0,88.0,0.0
Y,R,"[6, 9]",0.0,5.0,0.5365328788757324,2.3503849506378174,0.7243120081069353,8.0,89.0,0.0
G,D,"[7, 9]",0.0,5.0,0.21775412559509277,1.7753899097442627,0.46665903557460947,8.0,90.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6114280223846436,5.103792190551758,0.2876423133892596,9.0,91.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.40801310539245605,1.8457279205322266,0.3331624631680236,9.0,92.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.45853495597839355,2.216588020324707,0.666124421256898,9.0,93.0,0.0
G,D,"[6, 8]",1.0,4.0,0.32004690170288086,2.0395710468292236,0.6225250575968837,9.0,94.0,0.0
B,L,"[6, 7]",0.0,4.0,0.32567286491394043,1.7712910175323486,0.3441009752041885,9.0,95.0,0.0
G,D,"[7, 7]",0.0,4.0,0.25362682342529297,1.604579210281372,0.26550885967585974,9.0,96.0,0.0
B,L,"[7, 6]",0.0,4.0,0.19542288780212402,1.5611779689788818,0.2600242220208238,9.0,97.0,0.0
G,D,"[8, 6]",0.0,4.0,0.5398001670837402,1.9983010292053223,0.35822938084375683,9.0,98.0,0.0
B,L,"[8, 5]",0.0,4.0,0.16256213188171387,1.9356610774993896,0.6769587206616092,9.0,99.0,0.0
G,D,"[9, 5]",0.0,4.0,0.18937993049621582,1.8183441162109375,0.5288264062198929,9.0,100.0,0.0
