button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",-2.0,0.0,1.0960760116577148,2.45851993560791,0.3925890743139934,0.0,1.0,0.0
R,U,"[4, 6]",0.0,0.0,0.2711648941040039,1.873426914215088,0.6158547995632124,0.0,2.0,0.0
G,D,"[5, 6]",0.0,0.0,0.2349240779876709,1.964250087738037,0.7299165382920372,0.0,3.0,0.0
B,L,"[5, 5]",0.0,0.0,0.23007893562316895,1.875885009765625,0.6391834425589282,0.0,4.0,0.0
Y,R,"[5, 6]",0.0,0.0,0.24942612648010254,1.5585579872131348,0.31465422525934666,0.0,5.0,0.0
B,L,"[5, 5]",0.0,0.0,0.472121000289917,1.7350800037384033,0.26624851571210084,0.0,6.0,0.0
G,D,"[6, 5]",0.0,0.0,0.3774690628051758,1.6608538627624512,0.27707818847315036,0.0,7.0,0.0
R,U,"[5, 5]",0.0,0.0,0.3784599304199219,2.0881149768829346,0.7147293485965818,0.0,8.0,0.0
R,U,"[4, 5]",0.0,0.0,0.39148998260498047,1.8068971633911133,0.4051450180398108,0.0,9.0,0.0
R,U,"[3, 5]",0.0,0.0,0.369426965713501,1.774522066116333,0.4129245874799651,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.41339588165283203,3.1877260208129883,0.5004808863156776,1.0,11.0,0.0
B,L,"[6, 6]",0.0,0.0,0.2857060432434082,1.972726821899414,0.6896462248551964,1.0,12.0,0.0
G,D,"[7, 6]",0.0,0.0,0.2860081195831299,1.9117789268493652,0.6346359897229006,1.0,13.0,0.0
R,U,"[6, 6]",0.0,0.0,0.23528289794921875,1.8314979076385498,0.5995342431389952,1.0,14.0,0.0
G,D,"[7, 6]",0.0,0.0,0.2749958038330078,1.9434340000152588,0.6593851164209257,1.0,15.0,0.0
B,L,"[7, 5]",0.0,0.0,0.26064205169677734,1.5747408866882324,0.3178821028476847,1.0,16.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.4142880439758301,1.7683639526367188,0.35269789764219905,1.0,17.0,0.0
B,L,"[7, 5]",0.0,0.0,0.3325951099395752,1.7902719974517822,0.45948661229174315,1.0,18.0,0.0
G,D,"[8, 5]",0.0,0.0,0.32352113723754883,1.654709815979004,0.33089265604977114,1.0,19.0,0.0
B,L,"[8, 4]",-2.0,0.0,1.1836020946502686,2.8680849075317383,0.7151833708860371,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.42839479446411133,3.085975170135498,0.26829376572406427,2.0,21.0,0.0
R,U,"[5, 5]",0.0,0.0,0.19180893898010254,1.8159849643707275,0.6175705352315085,2.0,22.0,0.0
B,L,"[5, 4]",0.0,0.0,0.2758650779724121,1.6007990837097168,0.3181590593076409,2.0,23.0,0.0
R,U,"[4, 4]",0.0,0.0,0.4378798007965088,1.6954309940338135,0.2635653342388742,2.0,24.0,0.0
B,L,"[4, 3]",0.0,0.0,0.39899396896362305,1.876852035522461,0.47362504781098996,2.0,25.0,0.0
R,U,"[3, 3]",0.0,0.0,0.2661011219024658,1.7070379257202148,0.44725991551444344,2.0,26.0,0.0
