button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",1.0,1.0,0.9688489437103271,2.4411041736602783,0.4586859903400142,0.0,1.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.30437588691711426,1.6175580024719238,0.3097333284207337,0.0,2.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2507328987121582,1.7218351364135742,0.4812515965050915,0.0,3.0,0.0
G,D,"[6, 8]",1.0,4.0,0.2654459476470947,1.7571589946746826,0.48848211986550677,0.0,4.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.2338111400604248,1.676926851272583,0.44876064582959924,0.0,5.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.2552359104156494,1.8002068996429443,0.5321360542395439,0.0,6.0,0.0
R,U,"[5, 10]",1.0,7.0,0.2519969940185547,1.6770858764648438,0.42597191631083675,0.0,7.0,0.0
R,U,"[4, 10]",1.0,8.0,0.3215298652648926,1.8210229873657227,0.5135441386198566,0.0,8.0,0.0
B,L,"[4, 9]",1.0,9.0,0.18408513069152832,1.8626139163970947,0.6759290164092394,0.0,9.0,0.0
G,D,"[5, 9]",0.0,9.0,0.2443990707397461,1.9797589778900146,0.7389450960019401,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7841670513153076,3.771193027496338,0.660117203234166,1.0,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.25708699226379395,1.7124359607696533,0.45614422612123684,1.0,12.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.259260892868042,1.8835971355438232,0.6227966095082758,1.0,13.0,0.0
G,D,"[6, 8]",1.0,4.0,0.5429160594940186,2.0674870014190674,0.5238301266569352,1.0,14.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.27321505546569824,1.6217279434204102,0.345518034464888,1.0,15.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.26786303520202637,1.8108041286468506,0.539451747197524,1.0,16.0,0.0
R,U,"[5, 10]",1.0,7.0,0.3780500888824463,1.9182610511779785,0.5409967681002441,1.0,17.0,0.0
Y,R,"[5, 11]",0.0,7.0,0.3923609256744385,1.8287220001220703,0.43633452824205365,1.0,18.0,0.0
R,U,"[4, 11]",0.0,7.0,0.8321352005004883,2.1445090770721436,0.3143230917699613,1.0,19.0,0.0
R,U,"[3, 11]",0.0,7.0,0.31380200386047363,1.7805190086364746,0.4613597563887576,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.640125036239624,3.5610580444335938,0.6054621759860486,2.0,21.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.28043198585510254,1.5718989372253418,0.29436684880165787,2.0,22.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.25777602195739746,1.9166450500488281,0.6773019914384262,2.0,23.0,0.0
G,D,"[6, 8]",1.0,4.0,0.989124059677124,2.405327081680298,0.4160830555677751,2.0,24.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.5533719062805176,2.111564874649048,0.5608467549252263,2.0,25.0,0.0
R,U,"[5, 9]",0.0,5.0,0.3293769359588623,1.884225845336914,0.5616275190764685,2.0,26.0,0.0
R,U,"[4, 9]",1.0,6.0,0.3130319118499756,1.9068429470062256,0.6017689612873831,2.0,27.0,0.0
Y,R,"[4, 10]",1.0,7.0,0.2875950336456299,1.8436570167541504,0.5620484091009393,2.0,28.0,0.0
Y,R,"[4, 11]",-2.0,7.0,1.157416820526123,2.553773880004883,0.4158450794657267,2.0,29.0,0.0
Y,R,"[4, 10]",-3.0,7.0,0.2243669033050537,1.6672749519348145,0.433144295558682,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7233240604400635,4.422928810119629,0.6558219207092144,3.0,31.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.25400590896606445,1.5512499809265137,0.307388624585825,3.0,32.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.4539189338684082,1.866075038909912,0.4232008275556795,3.0,33.0,0.0
G,D,"[6, 8]",1.0,4.0,0.36922597885131836,1.7686049938201904,0.40839449744179984,3.0,34.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.34862804412841797,1.6242260932922363,0.28272068252224775,3.0,35.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.3717620372772217,1.9055299758911133,0.5214501783176397,3.0,36.0,0.0
R,U,"[5, 10]",1.0,7.0,0.31345605850219727,1.7371230125427246,0.4252836047721941,3.0,37.0,0.0
R,U,"[4, 10]",1.0,8.0,0.2560420036315918,1.7107501029968262,0.46924355909065396,3.0,38.0,0.0
G,D,"[5, 10]",0.0,8.0,0.825279951095581,2.264899969100952,0.4341555093433145,3.0,39.0,0.0
G,D,"[6, 10]",0.0,8.0,0.8735270500183105,2.5870468616485596,0.7209080203713321,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6212658882141113,3.408716917037964,0.7295175074328424,4.0,41.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2424759864807129,1.7950379848480225,0.5413561047564959,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2531599998474121,1.7458629608154297,0.5037880540496618,4.0,43.0,0.0
G,D,"[6, 8]",1.0,4.0,0.27015209197998047,1.683682918548584,0.4208491618176183,4.0,44.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.25193190574645996,1.9127349853515625,0.6666488134656172,4.0,45.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.16507315635681152,1.5125470161437988,0.346104375057603,4.0,46.0,0.0
R,U,"[5, 10]",1.0,7.0,0.8085060119628906,2.404812812805176,0.5840793885309874,4.0,47.0,0.0
R,U,"[4, 10]",1.0,8.0,0.6085882186889648,2.1648988723754883,0.5489710964627399,4.0,48.0,0.0
B,L,"[4, 9]",1.0,9.0,0.8477451801300049,2.29702091217041,0.44605579667980405,4.0,49.0,0.0
R,U,"[3, 9]",1.0,10.0,0.5407631397247314,2.173203945159912,0.6190348713016547,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6395881175994873,3.375631809234619,0.5279777524608518,5.0,51.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2863118648529053,1.9579188823699951,0.6857208151283171,5.0,52.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2506880760192871,1.871161937713623,0.6235768148171899,5.0,53.0,0.0
G,D,"[6, 8]",1.0,4.0,0.34195709228515625,1.6318740844726562,0.2891031585740777,5.0,54.0,0.0
B,L,"[6, 7]",0.0,4.0,0.5876259803771973,2.1700189113616943,0.5920380233689208,5.0,55.0,0.0
Y,R,"[6, 8]",0.0,4.0,0.24989700317382812,1.7017872333526611,0.46058955952119796,5.0,56.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.32300305366516113,2.0193629264831543,0.6962564220786817,5.0,57.0,0.0
R,U,"[5, 9]",0.0,5.0,0.2705800533294678,1.889359951019287,0.6191640057441734,5.0,58.0,0.0
R,U,"[4, 9]",1.0,6.0,0.5282590389251709,2.023461103439331,0.49266538564775925,5.0,59.0,0.0
B,L,"[4, 8]",0.0,6.0,0.3315098285675049,1.9272549152374268,0.6030148995103228,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.9397180080413818,3.6589291095733643,0.3954179720072858,6.0,61.0,0.0
Y,R,"[5, 7]",-1.0,1.0,0.0941469669342041,5.705654144287109,0.5341895470429464,6.0,62.0,0.0
Y,R,"[5, 8]",1.0,2.0,0.27750706672668457,2.0000569820404053,0.7173601457238127,6.0,63.0,0.0
Y,R,"[5, 9]",0.0,2.0,0.27149295806884766,1.5797932147979736,0.31419133514368275,6.0,64.0,0.0
G,D,"[6, 9]",1.0,3.0,0.5632758140563965,2.066744089126587,0.49740082685906856,6.0,65.0,0.0
Y,R,"[6, 10]",1.0,4.0,0.30286288261413574,1.8416268825531006,0.5388882746779584,6.0,66.0,0.0
Y,R,"[6, 11]",0.0,4.0,0.38110899925231934,1.8650798797607422,0.48739104977067876,6.0,67.0,0.0
R,U,"[5, 11]",0.0,4.0,0.3935739994049072,2.035032033920288,0.6388142900238002,6.0,68.0,0.0
R,U,"[4, 11]",0.0,4.0,0.38403797149658203,1.936974048614502,0.5591917355151403,6.0,69.0,0.0
B,L,"[4, 10]",1.0,5.0,0.4297499656677246,1.6825098991394043,0.258648710260936,6.0,70.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.636415958404541,4.116768836975098,0.7083630666838121,7.0,71.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.4207429885864258,1.8318729400634766,0.4236660939102819,7.0,72.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.43934178352355957,2.013139009475708,0.5698686993716175,7.0,73.0,0.0
G,D,"[6, 8]",1.0,4.0,0.5466890335083008,2.0411269664764404,0.49435450223184374,7.0,74.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.5933370590209961,2.0345449447631836,0.4456078502167482,7.0,75.0,0.0
R,U,"[5, 9]",0.0,5.0,0.11750102043151855,1.8432409763336182,0.7218365503396391,7.0,76.0,0.0
R,U,"[4, 9]",1.0,6.0,0.454974889755249,2.085789203643799,0.6243768351011907,7.0,77.0,0.0
R,U,"[3, 9]",1.0,7.0,0.5886600017547607,1.8589940071105957,0.2670167465536488,7.0,78.0,0.0
B,L,"[3, 8]",0.0,7.0,0.5150330066680908,1.945655107498169,0.42908855708457105,7.0,79.0,0.0
R,U,"[2, 8]",0.0,7.0,0.3543970584869385,2.008852005004883,0.6544089544735181,7.0,80.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7939229011535645,3.0583081245422363,0.3794564593690814,8.0,81.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.3662848472595215,1.9718809127807617,0.6015797262057112,8.0,82.0,0.0
