button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",1.0,1.0,0.7431211471557617,2.447000026702881,0.6809753568439556,0.0,1.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.3185091018676758,1.8940870761871338,0.5754399778918002,0.0,2.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.2182760238647461,1.5491979122161865,0.3411018399439339,0.0,3.0,0.0
G,D,"[6, 8]",1.0,4.0,0.30614209175109863,1.5751879215240479,0.2830934930568233,0.0,4.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.2807610034942627,1.7964301109313965,0.5125950772743968,0.0,5.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.20775508880615234,1.9639308452606201,0.7429104556742587,0.0,6.0,0.0
Y,R,"[6, 11]",0.0,6.0,0.3877689838409424,1.9884240627288818,0.6147048962289501,0.0,7.0,0.0
R,U,"[5, 11]",0.0,6.0,0.43877291679382324,2.183730125427246,0.7316931827744522,0.0,8.0,0.0
B,L,"[5, 10]",1.0,7.0,0.6073708534240723,1.8916959762573242,0.29049871009959205,0.0,9.0,0.0
R,U,"[4, 10]",1.0,8.0,0.64910888671875,2.023838996887207,0.3808042161647427,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5555968284606934,4.827508211135864,0.6746253838376877,1.0,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.28098487854003906,1.9532699584960938,0.6778855261927581,1.0,12.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.37601304054260254,1.7620420455932617,0.390173275152851,1.0,13.0,0.0
G,D,"[6, 8]",1.0,4.0,0.3492910861968994,1.694843053817749,0.35170854841389027,1.0,14.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.38029909133911133,2.0731360912323,0.6911450875238836,1.0,15.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.17069005966186523,1.4340848922729492,0.2756360555926917,1.0,16.0,0.0
R,U,"[5, 10]",1.0,7.0,0.36232709884643555,1.9877018928527832,0.6294694972156052,1.0,17.0,0.0
R,U,"[4, 10]",1.0,8.0,0.18629097938537598,1.6541109085083008,0.4673971232299717,1.0,18.0,0.0
B,L,"[4, 9]",1.0,9.0,0.22236013412475586,1.8792400360107422,0.6461324209808487,1.0,19.0,0.0
R,U,"[3, 9]",1.0,10.0,0.21495985984802246,1.8965320587158203,0.6760181803774956,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.3892350196838379,2.2712390422821045,0.39736182429127703,2.0,21.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.6273229122161865,2.3813350200653076,0.745112589071782,2.0,22.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.19593286514282227,1.4989140033721924,0.29435792764187274,2.0,23.0,0.0
G,D,"[6, 8]",1.0,4.0,0.4175558090209961,1.6670160293579102,0.26147876871611964,2.0,24.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.3351421356201172,1.8299481868743896,0.5077586786295581,2.0,25.0,0.0
R,U,"[5, 9]",0.0,5.0,0.38649988174438477,1.8998749256134033,0.5242650217875797,2.0,26.0,0.0
R,U,"[4, 9]",1.0,6.0,0.2145709991455078,1.7896919250488281,0.5804129243497104,2.0,27.0,0.0
R,U,"[3, 9]",1.0,7.0,0.7085609436035156,2.339750051498413,0.6202298073873411,2.0,28.0,0.0
B,L,"[3, 8]",0.0,7.0,0.3511829376220703,1.6813509464263916,0.3350955910654733,2.0,29.0,0.0
R,U,"[2, 8]",0.0,7.0,0.4170708656311035,1.725917100906372,0.31115757221456214,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.49387502670288086,3.6669609546661377,0.5277020155612471,3.0,31.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.43252992630004883,1.844498872756958,0.422324040821876,3.0,32.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.1814558506011963,1.4384839534759521,0.2609171063620068,3.0,33.0,0.0
G,D,"[6, 8]",1.0,4.0,0.4381139278411865,1.7495770454406738,0.32702517678228904,3.0,34.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.1960890293121338,1.7372901439666748,0.5474693487081497,3.0,35.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.1674060821533203,1.658210039138794,0.4890244920834277,3.0,36.0,0.0
R,U,"[5, 10]",1.0,7.0,0.25199079513549805,1.9708938598632812,0.7262907633690785,3.0,37.0,0.0
R,U,"[4, 10]",-1.0,7.0,0.0803680419921875,5.794050931930542,0.6540298267096167,3.0,38.0,0.0
B,L,"[4, 9]",1.0,8.0,0.3144078254699707,1.7294549942016602,0.41668974091516403,3.0,39.0,0.0
R,U,"[3, 9]",1.0,9.0,0.36101484298706055,1.6608150005340576,0.29425698536266953,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.45845890045166016,2.530068874359131,0.6572588922403858,4.0,41.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.24261999130249023,1.55293607711792,0.31046363228188156,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.43196606636047363,1.9367930889129639,0.5136251908432322,4.0,43.0,0.0
G,D,"[6, 8]",1.0,4.0,0.35254693031311035,1.9250679016113281,0.5719084030391548,4.0,44.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.16389799118041992,1.7915599346160889,0.6301392259468492,4.0,45.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.18103694915771484,1.6788959503173828,0.49237599971407964,4.0,46.0,0.0
R,U,"[5, 10]",1.0,7.0,0.2962319850921631,1.961111068725586,0.6699288403728954,4.0,47.0,0.0
R,U,"[4, 10]",1.0,8.0,0.21551203727722168,1.7232630252838135,0.5101519192388309,4.0,48.0,0.0
B,L,"[4, 9]",1.0,9.0,0.26088500022888184,1.9295308589935303,0.6727398656282537,4.0,49.0,0.0
R,U,"[3, 9]",1.0,10.0,0.2187800407409668,1.8165810108184814,0.6062629551050728,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.4160161018371582,2.5784738063812256,0.5345724648381466,5.0,51.0,0.0
Y,R,"[7, 7]",0.0,0.0,0.8185358047485352,2.27468204498291,0.45930958995885696,5.0,52.0,0.0
Y,R,"[7, 8]",-1.0,0.0,0.0013270378112792969,5.356698989868164,0.2993247884351506,5.0,53.0,0.0
Y,R,"[7, 9]",0.0,0.0,0.5991389751434326,2.2060298919677734,0.6053338077026127,5.0,54.0,0.0
R,U,"[6, 9]",1.0,1.0,0.37731409072875977,1.9434850215911865,0.5652878030100374,5.0,55.0,0.0
R,U,"[5, 9]",0.0,1.0,0.3590998649597168,1.9787211418151855,0.6105242494291074,5.0,56.0,0.0
B,L,"[5, 8]",1.0,2.0,0.25089406967163086,1.5366251468658447,0.29731951399410894,5.0,57.0,0.0
B,L,"[5, 7]",1.0,3.0,0.6895289421081543,2.0488221645355225,0.34606700491957637,5.0,58.0,0.0
B,L,"[5, 6]",1.0,4.0,0.4494140148162842,1.7618420124053955,0.30797463709066575,5.0,59.0,0.0
B,L,"[5, 5]",0.0,4.0,0.4923579692840576,2.1854448318481445,0.6930222230362952,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.4938468933105469,3.066922903060913,0.7432629633934198,6.0,61.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.39734482765197754,1.8324909210205078,0.44264248639067677,6.0,62.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.334183931350708,1.7574758529663086,0.4333569250791728,6.0,63.0,0.0
G,D,"[6, 8]",1.0,4.0,0.4224979877471924,1.7391860485076904,0.3059498244577425,6.0,64.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.4490218162536621,1.853074073791504,0.40900539331375163,6.0,65.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.28795599937438965,1.6486809253692627,0.37434765267514963,6.0,66.0,0.0
R,U,"[5, 10]",1.0,7.0,0.3889322280883789,1.9084198474884033,0.5325835092502165,6.0,67.0,0.0
R,U,"[4, 10]",1.0,8.0,0.27656102180480957,1.77144193649292,0.48738091143556844,6.0,68.0,0.0
B,L,"[4, 9]",1.0,9.0,0.30062389373779297,1.5482370853424072,0.25239688989984477,6.0,69.0,0.0
R,U,"[3, 9]",1.0,10.0,0.5558960437774658,1.8658421039581299,0.3014390020485432,6.0,70.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.23163604736328125,2.50881290435791,0.5268055814549024,7.0,71.0,0.0
R,U,"[5, 7]",1.0,1.0,0.61788010597229,2.0901269912719727,0.483585661368903,7.0,72.0,0.0
R,U,"[4, 7]",0.0,1.0,0.44985103607177734,1.8743009567260742,0.42466448990290173,7.0,73.0,0.0
G,D,"[5, 7]",0.0,1.0,0.3072080612182617,1.769474983215332,0.46050992008259317,7.0,74.0,0.0
Y,R,"[5, 8]",-1.0,1.0,0.008023977279663086,5.376252174377441,0.32022722047293023,7.0,75.0,0.0
G,D,"[6, 8]",1.0,2.0,0.31516408920288086,1.8811280727386475,0.5677729988467782,7.0,76.0,0.0
G,D,"[7, 8]",0.0,2.0,0.5467500686645508,2.031733989715576,0.4829192252668962,7.0,77.0,0.0
Y,R,"[7, 9]",0.0,2.0,0.41949009895324707,1.8144481182098389,0.39734639915532716,7.0,78.0,0.0
