button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",1.0,1.0,0.70166015625,2.45491099357605,0.7388882907156382,0.0,1.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.24165701866149902,1.543962001800537,0.2999196506527578,0.0,2.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.3156859874725342,1.7380239963531494,0.4211560202526939,0.0,3.0,0.0
R,U,"[4, 8]",0.0,3.0,0.25531792640686035,1.7508199214935303,0.4885256470788686,0.0,4.0,0.0
R,U,"[3, 8]",0.0,3.0,0.1732480525970459,1.7572228908538818,0.5789187820567172,0.0,5.0,0.0
B,L,"[3, 7]",0.0,3.0,0.17462992668151855,1.6511139869689941,0.463523160597021,0.0,6.0,0.0
G,D,"[4, 7]",0.0,3.0,0.17160296440124512,1.5654590129852295,0.3955794656206557,0.0,7.0,0.0
R,U,"[3, 7]",0.0,3.0,0.16401290893554688,1.5009119510650635,0.32998395630624766,0.0,8.0,0.0
B,L,"[3, 6]",0.0,3.0,0.20290684700012207,1.7313978672027588,0.5277024488152842,0.0,9.0,0.0
G,D,"[4, 6]",0.0,3.0,0.8225841522216797,2.5124740600585938,0.689982487249819,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.44777703285217285,3.209589958190918,0.43311072023196334,1.0,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.26889705657958984,1.7409510612487793,0.47410968650062824,1.0,12.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.24254488945007324,1.5972890853881836,0.3546443620760109,1.0,13.0,0.0
G,D,"[6, 8]",1.0,4.0,0.32019996643066406,1.9132030010223389,0.6010728601055702,1.0,14.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.27980589866638184,1.7758140563964844,0.493502826696956,1.0,15.0,0.0
R,U,"[5, 9]",0.0,5.0,0.16511106491088867,1.5518319606781006,0.3956849458463698,1.0,16.0,0.0
R,U,"[4, 9]",1.0,6.0,0.2944660186767578,1.7811110019683838,0.4764606220983707,1.0,17.0,0.0
B,L,"[4, 8]",0.0,6.0,0.3737800121307373,1.64847993850708,0.27520189152498026,1.0,18.0,0.0
R,U,"[3, 8]",0.0,6.0,0.276810884475708,1.7266628742218018,0.45162305579232226,1.0,19.0,0.0
Y,R,"[3, 9]",1.0,7.0,0.3584320545196533,1.6902008056640625,0.32519428823529706,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.7465720176696777,3.72597599029541,0.5675736901703065,2.0,21.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.18973088264465332,1.905306100845337,0.7060713889367867,2.0,22.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.15677499771118164,1.434135913848877,0.27395698940557656,2.0,23.0,0.0
G,D,"[6, 8]",1.0,4.0,0.4814300537109375,1.9951539039611816,0.5186948782241476,2.0,24.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.1685030460357666,1.4689559936523438,0.30452405631775303,2.0,25.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.2316300868988037,1.481576919555664,0.25291594661824135,2.0,26.0,0.0
R,U,"[5, 10]",1.0,7.0,0.21039104461669922,1.8761811256408691,0.661864667557643,2.0,27.0,0.0
R,U,"[4, 10]",-1.0,7.0,0.00747990608215332,5.345372915267944,0.27432439176314527,2.0,28.0,0.0
B,L,"[4, 9]",1.0,8.0,0.4686729907989502,2.141711950302124,0.6821793828698905,2.0,29.0,0.0
Y,R,"[4, 10]",0.0,8.0,0.27065205574035645,1.8789310455322266,0.6111199881795818,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6858749389648438,3.343663215637207,0.40505559154263093,3.0,31.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2809269428253174,1.9046099185943604,0.6259826451419657,3.0,32.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.31491994857788086,1.94865083694458,0.6414099085615373,3.0,33.0,0.0
G,D,"[6, 8]",1.0,4.0,0.26894688606262207,1.6604158878326416,0.40195230957323425,3.0,34.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.21423697471618652,1.8825008869171143,0.6674953197800617,3.0,35.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.21288394927978516,1.812295913696289,0.5964692426380429,3.0,36.0,0.0
R,U,"[5, 10]",1.0,7.0,0.18926382064819336,1.613893985748291,0.41054266351435564,3.0,37.0,0.0
R,U,"[4, 10]",1.0,8.0,0.467318058013916,2.1326730251312256,0.6762413394440518,3.0,38.0,0.0
B,L,"[4, 9]",1.0,9.0,0.2838480472564697,1.6609389781951904,0.3874125435023064,3.0,39.0,0.0
Y,R,"[4, 10]",0.0,9.0,0.32820892333984375,1.9397850036621094,0.6102949209053111,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.6020078659057617,3.8360238075256348,0.6295241275546237,4.0,41.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2407839298248291,1.5977990627288818,0.3442600916826111,4.0,42.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.30145883560180664,1.5672950744628906,0.278355812146043,4.0,43.0,0.0
G,D,"[6, 8]",1.0,4.0,0.2747669219970703,1.6930420398712158,0.4211845488180735,4.0,44.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.2057020664215088,1.6773560047149658,0.4650345650203478,4.0,45.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.25328898429870605,1.8876359462738037,0.6357456062077451,4.0,46.0,0.0
R,U,"[5, 10]",1.0,7.0,0.17810606956481934,1.821713924407959,0.6410393286882234,4.0,47.0,0.0
R,U,"[4, 10]",1.0,8.0,0.18159008026123047,1.538996934890747,0.3634722599858787,4.0,48.0,0.0
B,L,"[4, 9]",1.0,9.0,0.2295379638671875,1.531221866607666,0.29463664172409065,4.0,49.0,0.0
Y,R,"[4, 10]",0.0,9.0,0.24781298637390137,1.866184949874878,0.6272549866186516,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5261719226837158,2.832031011581421,0.6258600879604452,5.0,51.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.2228848934173584,1.8743720054626465,0.6500670631031052,5.0,52.0,0.0
Y,R,"[5, 8]",1.0,3.0,0.31145381927490234,1.8680601119995117,0.551693664693987,5.0,53.0,0.0
G,D,"[6, 8]",1.0,4.0,0.6038990020751953,2.099429130554199,0.5011099657655578,5.0,54.0,0.0
Y,R,"[6, 9]",1.0,5.0,0.1976151466369629,1.8950769901275635,0.6963380865052281,5.0,55.0,0.0
Y,R,"[6, 10]",1.0,6.0,0.21370387077331543,1.5365900993347168,0.31628518906945974,5.0,56.0,0.0
R,U,"[5, 10]",1.0,7.0,0.3104209899902344,1.6723380088806152,0.35521358979550677,5.0,57.0,0.0
R,U,"[4, 10]",1.0,8.0,0.21962499618530273,1.6839649677276611,0.4722355570616457,5.0,58.0,0.0
B,L,"[4, 9]",1.0,9.0,0.27632999420166016,1.9758648872375488,0.6979199598843335,5.0,59.0,0.0
B,L,"[4, 8]",0.0,9.0,0.2000281810760498,1.8694918155670166,0.6674337966317327,5.0,60.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5268731117248535,2.4378230571746826,0.27218102566336616,6.0,61.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.21500110626220703,1.8810980319976807,0.6695020186914633,6.0,62.0,0.0
