button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
B,L,"[6, 5]",-2.0,0.0,2.5700578689575195,3.9536049365997314,0.35450827864660184,0.0,1.0,0.0
G,D,"[7, 5]",0.0,0.0,0.5687808990478516,2.214790105819702,0.5524881463533838,0.0,2.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.3258359432220459,1.7305951118469238,0.29977002926963914,0.0,3.0,0.0
G,D,"[8, 6]",0.0,0.0,0.2924618721008301,2.083604097366333,0.6830444177041146,0.0,4.0,0.0
R,U,"[7, 6]",0.0,0.0,0.19108080863952637,1.641740083694458,0.3415648383099602,0.0,5.0,0.0
B,L,"[7, 5]",0.0,0.0,0.35479211807250977,1.9596190452575684,0.5009957450535821,0.0,6.0,0.0
Y,R,"[7, 6]",0.0,0.0,0.22607994079589844,2.04748797416687,0.7150614059299121,0.0,7.0,0.0
B,L,"[7, 5]",0.0,0.0,0.4015390872955322,2.04875111579895,0.547096277177358,0.0,8.0,0.0
B,L,"[7, 4]",0.0,0.0,0.30196595191955566,2.1248230934143066,0.7216838689930266,0.0,9.0,0.0
G,D,"[8, 4]",0.0,0.0,0.3503291606903076,2.0986649990081787,0.6537892246438335,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",-2.0,0.0,1.0633149147033691,12.035978078842163,0.539323065164617,1.0,11.0,0.0
B,L,"[6, 6]",0.0,0.0,0.2677760124206543,2.082226037979126,0.7212871662750053,1.0,12.0,0.0
G,D,"[7, 6]",0.0,0.0,0.16753387451171875,1.7334551811218262,0.47159826370188546,1.0,13.0,0.0
B,L,"[7, 5]",0.0,0.0,0.18003392219543457,1.5448849201202393,0.2666531086621406,1.0,14.0,0.0
R,U,"[6, 5]",0.0,0.0,0.1610720157623291,1.527777910232544,0.26117854264933626,1.0,15.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.1195368766784668,1.8986239433288574,0.6924100793734593,1.0,16.0,0.0
B,L,"[6, 5]",0.0,0.0,0.350308895111084,1.8685569763183594,0.42794059931882605,1.0,17.0,0.0
G,D,"[7, 5]",0.0,0.0,0.198714017868042,1.7465860843658447,0.45773978839589863,1.0,18.0,0.0
R,U,"[6, 5]",-1.0,0.0,0.015019893646240234,5.625310182571411,0.4829098768478288,1.0,19.0,0.0
R,U,"[5, 5]",0.0,0.0,0.24823594093322754,1.6998140811920166,0.34943242683578385,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.3390200138092041,6.4759299755096436,0.45842598961459097,2.0,21.0,0.0
G,D,"[7, 5]",0.0,0.0,0.3293750286102295,1.7352888584136963,0.31044991135029015,2.0,22.0,0.0
B,L,"[7, 4]",0.0,0.0,0.5491299629211426,2.2340760231018066,0.5942148150821001,2.0,23.0,0.0
R,U,"[6, 4]",0.0,0.0,0.20670080184936523,1.751965045928955,0.4462434854844783,2.0,24.0,0.0
Y,R,"[6, 5]",0.0,0.0,0.40993618965148926,2.243790864944458,0.723044168322906,2.0,25.0,0.0
B,L,"[6, 4]",0.0,0.0,0.2156238555908203,1.8301270008087158,0.5200405056253481,2.0,26.0,0.0
R,U,"[5, 4]",0.0,0.0,0.2019329071044922,1.6151809692382812,0.31864512564109776,2.0,27.0,0.0
G,D,"[6, 4]",0.0,0.0,0.39172887802124023,1.7875008583068848,0.2894745470177791,2.0,28.0,0.0
B,L,"[6, 3]",0.0,0.0,0.33620500564575195,1.7104580402374268,0.28305263340306824,2.0,29.0,0.0
B,L,"[6, 2]",0.0,0.0,0.28049588203430176,1.894545078277588,0.5107748291133175,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.8407390117645264,4.396964073181152,0.4576382646634262,3.0,31.0,0.0
R,U,"[5, 7]",1.0,1.0,0.20317697525024414,1.8939628601074219,0.6011706853662009,3.0,32.0,0.0
B,L,"[5, 6]",1.0,2.0,0.19606614112854004,1.9728100299835205,0.6741626164700989,3.0,33.0,0.0
G,D,"[6, 6]",0.0,2.0,0.2193470001220703,1.6867260932922363,0.37769253106679196,3.0,34.0,0.0
B,L,"[6, 5]",0.0,2.0,0.23807811737060547,1.8233959674835205,0.5008305692952426,3.0,35.0,0.0
R,U,"[5, 5]",0.0,2.0,0.2156839370727539,1.8352820873260498,0.5194066072695915,3.0,36.0,0.0
Y,R,"[5, 6]",0.0,2.0,0.22951412200927734,1.776151180267334,0.4457463522090137,3.0,37.0,0.0
B,L,"[5, 5]",0.0,2.0,0.1525270938873291,1.8502209186553955,0.6121543238792033,3.0,38.0,0.0
G,D,"[6, 5]",0.0,2.0,0.11292386054992676,1.792663812637329,0.5714804556646529,3.0,39.0,0.0
R,U,"[5, 5]",0.0,2.0,0.13344192504882812,1.7798070907592773,0.5512704063335587,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.40930700302124023,5.976842164993286,0.2782347862553845,4.0,41.0,0.0
R,U,"[5, 5]",0.0,0.0,0.4333629608154297,2.239603042602539,0.7175444180228652,4.0,42.0,0.0
G,D,"[6, 5]",0.0,0.0,0.1983790397644043,1.6966238021850586,0.39756560188944146,4.0,43.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.1873030662536621,1.5848889350891113,0.2991926400346802,4.0,44.0,0.0
B,L,"[6, 5]",0.0,0.0,0.2930159568786621,2.0128979682922363,0.6117105711237333,4.0,45.0,0.0
R,U,"[5, 5]",0.0,0.0,0.1700611114501953,1.9469339847564697,0.6918372675009499,4.0,46.0,0.0
