button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",-2.0,0.0,1.4261119365692139,2.9350709915161133,0.5356664001118768,0.0,1.0,0.0
R,U,"[4, 6]",0.0,0.0,0.2754480838775635,1.8749058246612549,0.5938437158376991,0.0,2.0,0.0
R,U,"[3, 6]",0.0,0.0,0.35379695892333984,1.8297178745269775,0.4900483508982326,0.0,3.0,0.0
R,U,"[2, 6]",0.0,0.0,0.2946929931640625,1.9459199905395508,0.6524188641432638,0.0,4.0,0.0
R,U,"[1, 6]",0.0,0.0,0.19835615158081055,1.9318439960479736,0.7340781979239983,0.0,5.0,0.0
R,U,"[2, 6]",-3.0,0.0,0.18698501586914062,1.7706608772277832,0.5881329215507476,0.0,6.0,0.0
R,U,"[1, 6]",0.0,0.0,0.17031002044677734,1.7935879230499268,0.6315178511869768,0.0,7.0,0.0
R,U,"[2, 6]",-3.0,0.0,0.22536301612854004,1.9447200298309326,0.7093417312588994,0.0,8.0,0.0
R,U,"[1, 6]",0.0,0.0,0.23597121238708496,1.6241090297698975,0.40033087264122835,0.0,9.0,0.0
R,U,"[2, 6]",-3.0,0.0,0.32074618339538574,1.8848938941955566,0.5682363816765998,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.5397870540618896,5.699059009552002,0.7000524346304311,1.0,11.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.27730488777160645,1.773622989654541,0.49045331754165905,1.0,12.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.329571008682251,1.6113150119781494,0.28512364944993984,1.0,13.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.27684712409973145,1.5338959693908691,0.2521939535895338,1.0,14.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.22476506233215332,1.8396899700164795,0.6082489076548536,1.0,15.0,0.0
Y,R,"[6, 10]",-3.0,3.0,0.1892390251159668,1.7259819507598877,0.5341301045134144,1.0,16.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.1969010829925537,1.9125981330871582,0.7130984044711766,1.0,17.0,0.0
Y,R,"[6, 10]",-1.0,3.0,0.09022021293640137,5.858997106552124,0.6716693405764967,1.0,18.0,0.0
Y,R,"[6, 11]",0.0,3.0,0.31126904487609863,1.9805951118469238,0.6687661852566299,1.0,19.0,0.0
Y,R,"[6, 10]",-3.0,3.0,0.2158350944519043,1.6805469989776611,0.4659878414097189,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
