button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",-2.0,0.0,1.8346960544586182,3.2769060134887695,0.46108859432028754,0.0,1.0,0.0
B,L,"[6, 6]",-2.0,0.0,7.17078709602356,8.439520120620728,0.31731340367558397,0.0,2.0,0.0
B,L,"[6, 5]",0.0,0.0,0.4851820468902588,1.985443115234375,0.5025900534294441,0.0,3.0,0.0
Y,R,"[6, 6]",-2.0,0.0,1.2283267974853516,2.449842929840088,0.25255952368427337,0.0,4.0,0.0
Y,R,"[6, 7]",0.0,0.0,0.42526793479919434,2.0933029651641846,0.6621223198144177,0.0,5.0,0.0
R,U,"[5, 7]",1.0,1.0,0.691472053527832,2.2597579956054688,0.5552374782099145,0.0,6.0,0.0
R,U,"[4, 7]",0.0,1.0,0.8292419910430908,2.3753859996795654,0.5471536408437637,0.0,7.0,0.0
G,D,"[5, 7]",-2.0,1.0,1.715893030166626,3.0530459880828857,0.367042353321991,0.0,8.0,0.0
G,D,"[6, 7]",0.0,1.0,0.32034802436828613,1.5691509246826172,0.2529749302158309,0.0,9.0,0.0
B,L,"[6, 6]",0.0,1.0,0.6612119674682617,2.161702871322632,0.49782903766049047,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5211520195007324,13.306856870651245,0.5376415139134376,1.0,11.0,0.0
Y,R,"[5, 7]",1.0,2.0,0.19735193252563477,1.5382978916168213,0.34275234046880826,1.0,12.0,0.0
B,L,"[5, 6]",0.0,2.0,0.2121119499206543,1.7549519538879395,0.5474337717262391,1.0,13.0,0.0
G,D,"[6, 6]",-1.0,2.0,0.05718994140625,5.485999822616577,0.350247136722951,1.0,14.0,0.0
G,D,"[7, 6]",0.0,2.0,0.3220529556274414,1.7895278930664062,0.4561842634459907,1.0,15.0,0.0
G,D,"[8, 6]",0.0,2.0,0.41765713691711426,1.7350919246673584,0.3247848980496563,1.0,16.0,0.0
G,D,"[9, 6]",0.0,2.0,0.28935813903808594,1.5781397819519043,0.2862390075892407,1.0,17.0,0.0
B,L,"[9, 5]",0.0,2.0,0.19099903106689453,1.8510699272155762,0.6538968577528457,1.0,18.0,0.0
R,U,"[8, 5]",0.0,2.0,0.21799898147583008,1.5656628608703613,0.3528753378726876,1.0,19.0,0.0
Y,R,"[8, 6]",0.0,2.0,0.3072988986968994,1.9867539405822754,0.6725321792374728,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.7631888389587402,8.904251098632812,0.6099789832078448,2.0,21.0,0.0
R,U,"[5, 7]",1.0,1.0,0.1950230598449707,1.5378952026367188,0.3483341920393503,2.0,22.0,0.0
R,U,"[4, 7]",0.0,1.0,0.25391697883605957,1.779844045639038,0.527943921551654,2.0,23.0,0.0
Y,R,"[4, 8]",0.0,1.0,0.24123215675354004,1.985713005065918,0.746633255637602,2.0,24.0,0.0
G,D,"[5, 8]",1.0,2.0,0.16721296310424805,1.6071820259094238,0.4374160354270818,2.0,25.0,0.0
B,L,"[5, 7]",0.0,2.0,0.2692379951477051,1.8705658912658691,0.6077774082792684,2.0,26.0,0.0
R,U,"[4, 7]",0.0,2.0,0.31258392333984375,1.9353089332580566,0.6264108541048097,2.0,27.0,0.0
R,U,"[3, 7]",0.0,2.0,0.4554929733276367,2.0434138774871826,0.6031170651826196,2.0,28.0,0.0
B,L,"[3, 6]",0.0,2.0,0.6391928195953369,1.9622998237609863,0.3156709927954931,2.0,29.0,0.0
R,U,"[2, 6]",0.0,2.0,0.48746800422668457,1.7871959209442139,0.3027401720239283,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.363814115524292,7.18988299369812,0.6754071688959155,3.0,31.0,0.0
G,D,"[6, 6]",0.0,1.0,0.3578159809112549,1.934952974319458,0.5772214392773911,3.0,32.0,0.0
G,D,"[7, 6]",0.0,1.0,0.3313908576965332,1.8092899322509766,0.48656101072532476,3.0,33.0,0.0
R,U,"[6, 6]",0.0,1.0,0.25133299827575684,1.88531494140625,0.6383654887918636,3.0,34.0,0.0
Y,R,"[6, 7]",0.0,1.0,0.19134902954101562,1.7227580547332764,0.5278215182909411,3.0,35.0,0.0
G,D,"[7, 7]",0.0,1.0,0.14470410346984863,1.6656229496002197,0.526936622888466,3.0,36.0,0.0
B,L,"[7, 6]",0.0,1.0,0.19803094863891602,1.8391849994659424,0.6490109102274464,3.0,37.0,0.0
R,U,"[6, 6]",0.0,1.0,0.18703579902648926,1.6257879734039307,0.4418298638352426,3.0,38.0,0.0
Y,R,"[6, 7]",0.0,1.0,0.2513408660888672,1.668262004852295,0.42660311131464335,3.0,39.0,0.0
G,D,"[7, 7]",0.0,1.0,0.18262410163879395,1.8192050457000732,0.6456512964117342,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
