button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",-2.0,0.0,1.0542588233947754,2.7494730949401855,0.7000760961371708,0.0,1.0,0.0
B,L,"[6, 6]",0.0,0.0,0.39609503746032715,1.9017889499664307,0.5020634884984198,0.0,2.0,0.0
G,D,"[7, 6]",0.0,0.0,0.4436659812927246,2.0245068073272705,0.5767358180909028,0.0,3.0,0.0
R,U,"[6, 6]",0.0,0.0,0.44727492332458496,2.123832941055298,0.6834670600842079,0.0,4.0,0.0
Y,R,"[6, 7]",0.0,0.0,0.3476099967956543,2.0477418899536133,0.6978002418573805,0.0,5.0,0.0
G,D,"[7, 7]",0.0,0.0,0.22264385223388672,1.881734848022461,0.6462270709098655,0.0,6.0,0.0
B,L,"[7, 6]",0.0,0.0,0.35425305366516113,2.0790770053863525,0.7250682581476524,0.0,7.0,0.0
R,U,"[6, 6]",0.0,0.0,0.2485790252685547,1.5564370155334473,0.3153137733599926,0.0,8.0,0.0
G,D,"[7, 6]",0.0,0.0,0.46688008308410645,2.2149322032928467,0.7463691812874074,0.0,9.0,0.0
B,L,"[7, 5]",0.0,0.0,0.2092299461364746,1.7020668983459473,0.48215484513649565,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
B,L,"[6, 5]",0.0,0.0,0.3642110824584961,3.573150873184204,0.6049334141078502,1.0,11.0,0.0
G,D,"[7, 5]",0.0,0.0,0.2745020389556885,1.7944409847259521,0.5161513979129435,1.0,12.0,0.0
R,U,"[6, 5]",0.0,0.0,0.4014620780944824,1.8215398788452148,0.4210724199494329,1.0,13.0,0.0
Y,R,"[6, 6]",0.0,0.0,0.421008825302124,1.755444049835205,0.34316268228884,1.0,14.0,0.0
B,L,"[6, 5]",0.0,0.0,0.47293877601623535,1.9590208530426025,0.4854194063489478,1.0,15.0,0.0
G,D,"[7, 5]",0.0,0.0,0.4221460819244385,1.8649239540100098,0.45025843968003904,1.0,16.0,0.0
R,U,"[6, 5]",0.0,0.0,0.34943699836730957,1.9427659511566162,0.5929496225081663,1.0,17.0,0.0
G,D,"[7, 5]",0.0,0.0,0.27608513832092285,1.920335054397583,0.6463653978672326,1.0,18.0,0.0
B,L,"[7, 4]",0.0,0.0,0.309938907623291,1.7031409740447998,0.3831588681286038,1.0,19.0,0.0
Y,R,"[7, 5]",0.0,0.0,0.5258009433746338,1.883937120437622,0.35047227909768425,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.333327054977417,14.736751079559326,0.5200089413978628,2.0,21.0,0.0
R,U,"[4, 6]",0.0,1.0,0.27294111251831055,1.6021380424499512,0.3223357551751228,2.0,22.0,0.0
B,L,"[4, 5]",0.0,1.0,0.3679358959197998,1.9335660934448242,0.572309169319829,2.0,23.0,0.0
G,D,"[5, 5]",0.0,1.0,0.27059292793273926,2.010688066482544,0.7494047405290862,2.0,24.0,0.0
Y,R,"[5, 6]",0.0,1.0,0.32093310356140137,2.027496814727783,0.7101069007001859,2.0,25.0,0.0
R,U,"[4, 6]",0.0,1.0,0.22218585014343262,1.742203950881958,0.5193255312030085,2.0,26.0,0.0
G,D,"[5, 6]",0.0,1.0,0.5292510986328125,1.9910328388214111,0.46020227535557495,2.0,27.0,0.0
B,L,"[5, 5]",0.0,1.0,0.28385400772094727,1.5895748138427734,0.31661942696965195,2.0,28.0,0.0
