button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
Y,R,"[6, 7]",-2.0,0.0,1.1677641868591309,2.8824028968811035,0.7330047770843657,0.0,1.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.38623905181884766,1.9131920337677002,0.52964471300237,0.0,2.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.17538905143737793,1.6621711254119873,0.4750767650314318,0.0,3.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.14941906929016113,1.5284559726715088,0.38690792483130537,0.0,4.0,0.0
R,U,"[5, 10]",1.0,4.0,0.166046142578125,1.8810758590698242,0.7177405827182628,0.0,5.0,0.0
R,U,"[4, 10]",-1.0,4.0,0.018014907836914062,5.551337003707886,0.469019326273504,0.0,6.0,0.0
R,U,"[3, 10]",0.0,4.0,0.3956930637359619,1.9179911613464355,0.5206075141290463,0.0,7.0,0.0
B,L,"[3, 9]",1.0,5.0,0.21629691123962402,1.6639800071716309,0.4509928379913557,0.0,8.0,0.0
R,U,"[2, 9]",0.0,5.0,0.28832006454467773,1.8809559345245361,0.5818373519728337,0.0,9.0,0.0
B,L,"[2, 8]",0.0,5.0,0.16594600677490234,1.8724050521850586,0.7039265706544127,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
Y,R,"[6, 7]",0.0,0.0,0.4698328971862793,3.084207057952881,0.6049124028876671,1.0,11.0,0.0
Y,R,"[6, 8]",1.0,1.0,0.17348790168762207,1.8573391437530518,0.678662189293731,1.0,12.0,0.0
Y,R,"[6, 9]",1.0,2.0,0.11615300178527832,1.6960701942443848,0.5752657368779223,1.0,13.0,0.0
Y,R,"[6, 10]",1.0,3.0,0.19121909141540527,1.7449710369110107,0.5531789284510773,1.0,14.0,0.0
R,U,"[5, 10]",1.0,4.0,0.16981196403503418,1.7491540908813477,0.5854663446282014,1.0,15.0,0.0
R,U,"[4, 10]",-1.0,4.0,5.698204040527344e-05,5.435488939285278,0.3710318393865104,1.0,16.0,0.0
R,U,"[3, 10]",0.0,4.0,0.4304771423339844,1.7368979454040527,0.30789835083125583,1.0,17.0,0.0
B,L,"[3, 9]",1.0,5.0,0.4391000270843506,1.9574029445648193,0.5317606347216188,1.0,18.0,0.0
R,U,"[2, 9]",0.0,5.0,0.3164541721343994,1.9106650352478027,0.5923600819189905,1.0,19.0,0.0
B,L,"[2, 8]",0.0,5.0,0.2313861846923828,1.6737470626831055,0.4495270364656414,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
